序号,代码,名称,最新价(元) 11:38,涨跌幅(%) 11:38,证券类型,同公司港股简称,区间涨跌幅(%) 2025.07.03 - 2026.07.03,市净率(倍) 2026.07.03,市盈率(TTM)(倍) 2026.07.03,ST股票,年度股息率(%) 2025.12.31,同公司港股代码,涨跌额(元) 11:38,最高价(元) 11:38,最低价(元) 11:38,换手率(%) 11:38,量比 11:38,成交量(股) 11:38,成交额(元) 11:38,市盈率(动)(倍) 2026.07.03,总市值(元) 2026.07.03,流通市值(元) 2026.07.03
1,601528,瑞丰银行,4.53,0.00,A股,-,-20.15,0.4494,4.53,否,3.68,-,0.000,4.59,4.51,0.32,0.98,592.25万,2695.51万,5.26,88.89亿,84.07亿
2,002966,苏州银行,7.14,-0.14,A股,-,-20.48,0.6242,5.83,否,4.34,-,-0.010,7.30,7.13,0.69,1.30,3034.02万,2.19亿,4.74,319.21亿,313.84亿
3,601766,中国中车,5.34,0.19,A股,中国中车,-21.16,0.8725,11.35,否,3.37,01766.HK,0.010,5.42,5.31,0.42,1.08,1.02亿,5.50亿,11.34,1532.52亿,1299.10亿
4,002958,青农商行,2.81,0.36,A股,-,-21.42,0.4124,4.89,否,3.87,-,0.010,2.84,2.79,0.62,1.77,3349.35万,9441.83万,3.13,156.11亿,152.85亿
5,600050,中国联通,4.05,-0.25,A股,-,-21.53,0.7489,14.62,否,3.20,-,-0.010,4.10,4.04,0.24,1.04,7336.65万,2.99亿,14.81,1266.21亿,1255.11亿
6,601390,中国中铁,4.26,0.00,A股,中国中铁,-21.56,0.3251,4.92,否,3.11,00390.HK,0.000,4.32,4.25,0.31,0.98,6315.27万,2.71亿,5.99,1045.03亿,865.80亿
7,601186,中国铁建,6.09,0.16,A股,中国铁建,-22.02,0.2976,4.70,否,3.91,01186.HK,0.010,6.16,6.07,0.20,1.04,2252.03万,1.38亿,4.71,826.99亿,700.55亿
8,600648,外高桥,8.41,1.08,A股,-,-22.63,0.7168,12.58,否,3.47,-,0.090,8.47,8.32,0.14,1.27,160.32万,1349.10万,192.89,114.37亿,95.69亿
9,601801,皖新传媒,5.08,0.20,A股,-,-23.15,0.8456,13.26,否,4.56,-,0.010,5.15,5.06,0.34,1.01,656.26万,3348.52万,7.43,99.46亿,99.46亿
10,601019,山东出版,6.84,3.01,A股,-,-24.66,0.9371,12.11,否,3.36,-,0.200,6.86,6.61,0.35,2.08,732.95万,4965.77万,10.87,142.74亿,142.74亿
11,601166,兴业银行,16.91,-0.88,A股,-,-25.15,0.4368,4.62,否,5.06,-,-0.150,17.33,16.91,0.26,1.15,5416.83万,9.26亿,3.75,3578.64亿,3578.64亿
12,601818,光大银行,2.96,-0.34,A股,中国光大银行,-26.32,0.3472,4.62,否,5.01,06818.HK,-0.010,3.01,2.96,0.33,1.33,1.53亿,4.56亿,3.82,1748.93亿,1373.64亿
13,601169,北京银行,5.01,-0.20,A股,-,-26.82,0.3738,5.16,否,5.07,-,-0.010,5.06,5.00,0.28,1.05,5919.47万,2.98亿,3.27,1059.26亿,1059.26亿
14,600016,民生银行,3.28,0.31,A股,民生银行,-29.67,0.2505,4.90,否,4.93,01988.HK,0.010,3.32,3.25,0.43,1.18,1.52亿,5.02亿,3.12,1436.06亿,1163.16亿
15,600782,新钢股份,2.57,-0.39,A股,-,-31.40,0.3277,-11.71,否,3.48,-,-0.010,2.63,2.55,0.87,1.20,2730.91万,7084.08万,-2.80,81.83亿,80.84亿
16,600000,浦发银行,8.66,-0.46,A股,-,-37.17,0.3826,5.74,否,3.38,-,-0.040,8.82,8.66,0.12,1.27,3995.19万,3.49亿,4.04,2884.29亿,2884.29亿
17,603113,金能科技,4.28,0.94,A股,-,-38.61,0.5011,-5.64,否,6.60,-,0.040,4.32,4.19,0.61,0.85,521.67万,2235.51万,-1.54,36.32亿,36.32亿
