序号,代码,名称,最新价(港元) 11:58,涨跌幅(%) 11:58,港股总市值(日线不复权) 2026.07.03,交易币种,港股通标的,恒生行业分类,成份股,涨跌额 11:58,最高价 2026.07.03,最低价(股) 2026.07.03,换手率(%) 11:58,量比 2026.07.03,成交量(股) 11:58,成交额 11:58,市盈率(TTM)(倍) 2026.07.03,市净率(倍) 2026.07.03,港股总市值 2026.07.03
1,06160,百济神州,181.900,4.12,2594.56亿,港元,是,医疗保健业、药品及生物科技、生物技术,中华沪港通300、国企指数、恒指港股通指数、恒生医疗保健指数、恒生指数、恒生沪深港创新药精选50指数、恒生港股通中国内地医疗保健指数、恒生港股通新经济指数,7.200,183.900,178.200,0.21,1.10,297.21万,5.41亿,70.01,8.26,2594.56亿
2,03692,翰森制药,33.380,6.58,2024.21亿,港元,是,医疗保健业、药品及生物科技、药品,中华沪港通300、中华港股通精选100、国企指数、恒指港股通指数、恒生医疗保健指数、恒生指数、恒生沪深港创新药精选50指数、恒生港股通中国内地医疗保健指数、恒生港股通新经济指数,2.060,33.740,31.640,0.25,2.24,1498.09万,4.94亿,32.91,5.17,2024.21亿
3,02269,药明生物,36.660,2.23,1518.95亿,港元,是,医疗保健业、药品及生物科技、生物技术,中华沪港通300、中华港股通精选100、恒指港股通指数、恒生医疗保健指数、恒生指数、恒生沪深港创新药精选50指数、恒生港股通新经济指数,0.800,36.800,35.640,0.44,1.15,1832.40万,6.62亿,27.95,2.90,1518.95亿
4,01801,信达生物,86.750,1.64,1507.93亿,港元,是,医疗保健业、药品及生物科技、药品,中华沪港通300、中华港股通精选100、国企指数、恒指港股通指数、恒生医疗保健指数、恒生指数、恒生沪深港创新药精选50指数、恒生港股通中国内地医疗保健指数、恒生港股通新经济指数,1.400,89.150,86.350,0.76,1.60,1318.54万,11.57亿,167.41,7.04,1507.93亿
5,06618,京东健康,36.220,6.03,1163.05亿,港元,是,医疗保健业、药品及生物科技、药品分销,中华沪港通300、中华港股通精选100、国企指数、恒指港股通指数、恒生医疗保健指数、恒生指数、恒生港股通新经济指数、恒生科技指数,2.060,36.560,34.600,0.22,1.22,710.34万,2.55亿,19.54,1.75,1163.05亿
6,01093,石药集团,7.850,3.97,904.51亿,港元,是,医疗保健业、药品及生物科技、药品,中华沪港通300、中华港股通精选100、国企指数、恒指港股通指数、恒生中国内地企业高股息率指数、恒生医疗保健指数、恒生指数、恒生沪深港创新药精选50指数、恒生港股通中国内地医疗保健指数、恒生港股通新经济指数,0.300,8.080,7.690,0.72,1.44,8239.74万,6.51亿,24.64,2.46,904.51亿
7,01177,中国生物制药,4.690,1.52,877.27亿,港元,是,医疗保健业、药品及生物科技、药品,中华沪港通300、中华港股通精选100、恒指港股通指数、恒生医疗保健指数、恒生指数、恒生沪深港创新药精选50指数、恒生港股通中国内地医疗保健指数、恒生港股通新经济指数,0.070,4.890,4.630,0.24,0.89,4478.34万,2.13亿,33.81,2.58,877.27亿
8,02359,药明康德,155.000,1.44,760.01亿,港元,是,医疗保健业、药品及生物科技、生物技术,恒指港股通指数、恒生医疗保健指数、恒生指数、恒生沪深港创新药精选50指数,2.200,156.400,151.400,0.47,0.60,229.01万,3.52亿,20.25,4.82,760.01亿
9,00241,阿里健康,3.340,6.03,540.26亿,港元,是,医疗保健业、药品及生物科技、药品分销,中华沪港通300、中华港股通精选100、恒指港股通指数、恒生医疗保健指数、恒生指数、恒生港股通新经济指数、恒生科技指数,0.190,3.360,3.180,0.58,1.64,9327.83万,3.08亿,24.64,2.67,540.26亿
10,01099,国药控股,16.700,1.64,224.08亿,港元,是,医疗保健业、药品及生物科技、药品分销,恒指港股通指数、恒生中国央企指数、恒生医疗保健指数、恒生指数,0.270,16.750,16.490,0.10,0.30,139.80万,2325.69万,6.56,0.54,224.08亿
