序号,代码,名称,最新价(港元) 11:58,涨跌幅(%) 11:58,股息率(TTM)(%),交易币种,港股通标的,港股总市值(日线不复权) 2026.07.03,市净率(倍) 2026.07.03,涨跌额 11:58,最高价 2026.07.03,最低价(股) 2026.07.03,换手率(%) 11:58,量比 2026.07.03,成交量(股) 11:58,成交额 11:58,市盈率(TTM)(倍) 2026.07.03,港股总市值 2026.07.03
1,00551,裕元集团,12.650,-0.55,10.32,港元,是,202.98亿,0.56,-0.070,12.740,12.360,0.07,0.83,114.38万,1443.92万,7.65,202.98亿
2,03360,远东宏信,5.910,5.16,9.48,港元,是,284.69亿,0.50,0.290,5.920,5.550,0.25,1.12,1206.99万,7036.10万,6.61,284.69亿
3,00384,中国燃气,5.400,2.86,9.23,港元,是,294.20亿,0.51,0.150,5.430,5.250,0.15,0.63,795.09万,4272.50万,10.82,294.20亿
4,06186,中国飞鹤,2.930,1.74,8.68,港元,是,258.06亿,0.95,0.050,2.960,2.860,0.08,0.72,687.60万,2010.40万,12.02,258.06亿
5,03311,中国建筑国际,7.260,2.54,8.61,港元,是,383.49亿,0.49,0.180,7.280,7.100,0.03,0.57,165.75万,1198.01万,4.03,383.49亿
6,01919,中远海控,13.460,2.98,8.35,港元,是,371.02亿,0.77,0.390,13.580,13.150,0.26,0.99,718.73万,9672.67万,7.32,371.02亿
7,01128,永利澳门,5.130,2.40,7.99,港元,是,270.11亿,-2.00,0.120,5.140,4.970,0.05,0.78,265.15万,1349.67万,16.58,270.11亿
8,00659,周大福创建,7.860,2.08,7.56,港元,是,358.91亿,0.92,0.160,7.860,7.720,0.01,0.80,45.79万,357.79万,15.35,358.91亿
9,00762,中国联通,6.200,1.64,7.54,港元,是,1897.08亿,0.47,0.100,6.270,6.090,0.04,0.66,1374.79万,8515.73万,8.56,1897.08亿
10,00683,嘉里建设,18.510,1.93,7.31,港元,是,268.64亿,0.26,0.350,18.610,18.180,0.07,1.39,98.60万,1824.28万,28.64,268.64亿
11,00371,北控水务集团,2.290,0.88,7.25,港元,是,230.07亿,0.75,0.020,2.300,2.260,0.05,0.78,458.84万,1049.19万,13.31,230.07亿
12,02688,新奥能源,42.120,1.25,7.21,港元,是,476.73亿,0.90,0.520,42.380,41.520,0.14,0.53,154.94万,6523.53万,7.29,476.73亿
13,00008,电讯盈科,5.410,0.93,7.07,港元,是,419.15亿,-21.32,0.050,5.430,5.340,0.02,0.46,179.42万,969.04万,-165.67,419.15亿
14,00101,恒隆地产,7.200,3.60,7.04,港元,是,374.62亿,0.28,0.250,7.200,6.980,0.07,0.76,340.60万,2432.00万,20.74,374.62亿
15,00316,东方海外国际,126.500,2.93,7.04,港元,是,835.37亿,0.80,3.600,127.000,122.900,0.05,0.81,34.48万,4341.44万,7.09,835.37亿
16,02380,中国电力,2.750,1.48,6.97,港元,是,340.18亿,0.72,0.040,2.760,2.710,0.08,0.71,965.31万,2650.28万,10.56,340.18亿
17,00728,中国电信,4.380,0.69,6.92,港元,是,607.83亿,0.76,0.030,4.410,4.340,0.15,0.54,2080.77万,9116.92万,11.30,607.83亿
18,06818,中国光大银行,2.930,1.74,6.71,港元,是,371.49亿,0.30,0.050,2.950,2.880,0.02,0.25,251.10万,735.35万,4.08,371.49亿
19,00836,华润电力,17.330,4.02,6.49,港元,是,897.18亿,0.81,0.670,17.400,16.710,0.18,0.76,909.56万,1.57亿,6.18,897.18亿
20,01988,民生银行,3.250,1.56,6.43,港元,是,270.41亿,0.22,0.050,3.270,3.200,0.06,0.44,500.89万,1627.19万,4.30,270.41亿
21,00998,中信银行,6.730,0.00,6.37,港元,是,1001.57亿,0.45,0.000,6.830,6.680,0.24,2.09,3500.45万,2.35亿,4.69,1001.57亿
22,01908,建发国际集团,14.140,-1.87,6.32,港元,是,316.76亿,0.95,-0.270,14.840,14.040,0.11,0.61,246.89万,3565.46万,7.84,316.76亿
23,01193,华润燃气,15.100,1.07,6.30,港元,是,349.42亿,0.79,0.160,15.330,14.990,0.10,0.68,228.20万,3450.94万,9.85,349.42亿
24,00267,中信股份,10.750,0.56,6.16,港元,是,3127.20亿,0.36,0.060,10.850,10.710,0.02,0.42,589.29万,6344.35万,4.81,3127.20亿
25,00087,太古股份公司B,12.550,0.40,6.06,港元,是,357.54亿,0.14,0.050,12.600,12.520,0.00,0.27,12.54万,157.32万,12.17,357.54亿
26,00857,中国石油股份,8.750,0.00,6.02,港元,是,1846.15亿,0.87,0.000,8.860,8.700,0.13,0.50,2724.21万,2.39亿,9.02,1846.15亿
27,01997,九龙仓置业,22.120,3.08,5.99,港元,是,671.61亿,0.37,0.660,22.160,21.780,0.05,0.59,159.67万,3513.71万,-15.78,671.61亿
28,02318,中国平安,52.500,0.38,5.85,港元,是,3909.98亿,0.82,0.200,53.000,52.150,0.14,0.45,1042.87万,5.47亿,6.41,3909.98亿
29,00257,光大环境,4.630,-0.64,5.82,港元,是,284.42亿,0.54,-0.030,4.710,4.610,0.06,0.82,363.02万,1692.17万,7.25,284.42亿
30,00392,北京控股,28.260,2.54,5.81,港元,是,355.51亿,0.36,0.700,28.320,27.580,0.06,0.57,72.79万,2040.23万,6.35,355.51亿
31,00144,招商局港口,12.930,2.54,5.72,港元,是,542.80亿,0.49,0.320,12.980,12.530,0.02,0.41,71.87万,925.86万,8.41,542.80亿
32,00788,中国铁塔,9.030,1.23,5.69,港元,是,421.37亿,0.70,0.110,9.090,8.950,0.07,0.31,308.37万,2783.63万,12.34,421.37亿
33,01766,中国中车,4.590,0.66,5.64,港元,是,200.63亿,0.66,0.030,4.650,4.570,0.11,0.41,477.92万,2204.22万,8.72,200.63亿
34,00914,海螺水泥,17.130,1.42,5.59,港元,是,222.15亿,0.41,0.240,17.300,16.720,0.49,1.80,636.67万,1.09亿,10.00,222.15亿
35,00386,中国石油化工股份,4.050,0.75,5.56,港元,是,963.20亿,0.52,0.030,4.100,4.030,0.18,0.74,4240.27万,1.72亿,11.99,963.20亿
36,00939,建设银行,7.850,0.13,5.52,港元,是,1.89万亿,0.51,0.010,7.960,7.830,0.03,0.50,7142.70万,5.63亿,5.37,1.89万亿
37,01972,太古地产,21.060,3.24,5.50,港元,是,1212.53亿,0.45,0.660,21.100,20.500,0.02,0.60,102.26万,2121.65万,-79.09,1212.53亿
38,03328,交通银行,6.680,1.98,5.45,港元,是,2338.79亿,0.45,0.130,6.700,6.550,0.04,0.84,1304.84万,8645.61万,5.47,2338.79亿
39,00142,第一太平,4.980,1.84,5.45,港元,是,212.25亿,0.62,0.090,4.990,4.880,0.10,0.94,416.00万,2043.92万,4.13,212.25亿
40,02328,中国财险,14.260,1.35,5.43,港元,是,983.84亿,0.95,0.190,14.540,14.100,0.16,0.57,1098.53万,1.56亿,7.51,983.84亿
41,01398,工商银行,6.450,0.47,5.42,港元,是,5598.22亿,0.51,0.030,6.510,6.420,0.07,0.49,5800.23万,3.74亿,5.53,5598.22亿
42,00135,昆仑能源,6.460,-0.15,5.38,港元,是,558.00亿,0.74,-0.010,6.540,6.440,0.03,0.47,285.20万,1847.17万,9.43,558.00亿
43,01658,邮储银行,4.510,-0.22,5.38,港元,是,895.51亿,0.46,-0.010,4.570,4.500,0.07,0.49,1298.52万,5883.20万,5.50,895.51亿
44,00083,信和置业,10.470,1.85,5.36,港元,是,1003.67亿,0.59,0.190,10.500,10.290,0.01,0.24,116.08万,1208.46万,26.89,1003.67亿
45,03988,中国银行,4.810,0.00,5.26,港元,是,4022.23亿,0.50,0.000,4.870,4.780,0.09,0.36,7182.11万,3.46亿,5.65,4022.23亿
46,01288,农业银行,5.340,0.56,5.25,港元,是,1641.45亿,0.58,0.030,5.380,5.320,0.05,0.24,1544.11万,8266.85万,5.67,1641.45亿
47,03968,招商银行,44.220,0.82,5.16,港元,是,2030.10亿,0.87,0.360,44.540,43.800,0.08,0.33,387.18万,1.71亿,6.61,2030.10亿
48,01339,中国人民保险集团,4.880,2.52,5.14,港元,是,425.84亿,0.60,0.120,4.930,4.790,0.25,0.81,2165.12万,1.06亿,4.57,425.84亿
49,00012,恒基地产,25.660,2.89,4.96,港元,是,1242.30亿,0.39,0.720,25.660,25.000,0.05,0.50,229.47万,5831.78万,21.98,1242.30亿
50,03320,华润医药,4.490,2.75,4.89,港元,是,282.08亿,0.50,0.120,4.520,4.400,0.05,0.71,313.35万,1402.44万,6.30,282.08亿
51,02601,中国太保,27.700,0.73,4.82,港元,是,768.76亿,0.74,0.200,28.020,27.380,0.09,0.40,258.62万,7135.01万,4.43,768.76亿
52,00023,东亚银行,12.720,1.76,4.81,港元,是,336.34亿,0.32,0.220,12.750,12.520,0.01,0.68,35.28万,446.77万,9.61,336.34亿
53,01099,国药控股,16.700,1.64,4.76,港元,是,224.08亿,0.54,0.270,16.750,16.490,0.10,0.30,139.80万,2325.69万,6.56,224.08亿
54,06881,中国银河,7.490,1.08,4.71,港元,是,276.45亿,0.60,0.080,7.580,7.380,0.20,0.67,726.20万,5446.04万,5.71,276.45亿
55,00019,太古股份公司A,82.500,1.73,4.65,港元,是,642.67亿,0.25,1.400,82.500,81.100,0.02,0.25,12.52万,1024.81万,21.87,642.67亿
56,01898,中煤能源,10.030,1.31,4.29,港元,是,411.90亿,0.72,0.130,10.300,9.910,0.15,0.64,634.11万,6345.84万,8.26,411.90亿
57,01109,华润置地,31.100,0.13,4.25,港元,是,2217.72亿,0.69,0.040,31.880,31.020,0.07,0.48,517.06万,1.62亿,7.88,2217.72亿
58,01113,长实集团,44.240,-0.14,4.04,港元,是,1548.30亿,0.39,-0.060,44.580,43.800,0.03,0.36,102.74万,4537.19万,14.27,1548.30亿
59,00688,中国海外发展,12.460,0.56,4.01,港元,是,1363.73亿,0.32,0.070,12.750,12.300,0.06,0.56,680.38万,8541.75万,9.71,1363.73亿
60,00868,信义玻璃,8.760,2.34,3.88,港元,是,387.55亿,0.95,0.200,8.870,8.620,0.10,1.23,444.44万,3893.22万,12.83,387.55亿
61,02611,国泰海通,15.080,1.34,3.72,港元,是,528.67亿,0.72,0.200,15.240,14.930,0.10,0.47,347.22万,5234.82万,10.74,528.67亿
62,01816,中广核电力,2.690,-1.10,3.63,港元,是,300.30亿,0.95,-0.030,2.730,2.650,0.38,1.96,4201.45万,1.13亿,12.77,300.30亿
63,00001,长和,65.550,0.85,3.53,港元,是,2510.59亿,0.45,0.550,66.250,65.100,0.07,0.75,273.54万,1.79亿,21.20,2510.59亿
64,06886,华泰证券,16.990,1.07,3.36,港元,是,292.07亿,0.76,0.180,17.080,16.820,0.14,0.58,240.24万,4075.81万,7.81,292.07亿
65,00016,新鸿基地产,115.200,1.77,3.31,港元,是,3338.24亿,0.54,2.000,115.200,112.300,0.05,0.38,145.28万,1.66亿,15.17,3338.24亿
66,03668,兖煤澳大利亚,30.120,2.24,3.29,港元,是,397.72亿,0.85,0.660,30.500,29.460,0.07,1.00,92.63万,2785.85万,17.41,397.72亿
