序号,代码,名称,最新价(元) 11:41,涨跌幅(%) 11:41,上市板块 截至2026.07.03最新,总市值(元) 2026.07.03,市净率(倍) 2026.07.03,年度股息率(%) 2025.12.31,市盈率估值状态 截至2026.07.03最新,蓝筹股 2026.07.02,涨跌额(元) 11:41,最高价(元) 11:41,最低价(元) 11:41,换手率(%) 11:41,量比 11:41,成交量(股) 11:41,成交额(元) 11:41,市盈率(动)(倍) 2026.07.03,流通市值(元) 2026.07.03
1,600036,招商银行,36.55,-0.14,上交所主板,9217.85亿,0.8140,4.79,估值较低,一线蓝筹,-0.050,37.06,36.50,0.23,0.93,4695.81万,17.28亿,6.09,7539.88亿
2,601318,中国平安,48.70,-0.45,上交所主板,8818.42亿,0.8938,3.95,估值较低,一线蓝筹,-0.220,49.78,48.60,0.44,0.82,4737.71万,23.27亿,8.81,5191.45亿
3,601998,中信银行,6.95,-0.14,上交所主板,3867.34亿,0.5283,4.95,估值较低,一线蓝筹,-0.010,7.03,6.92,0.08,0.97,3417.40万,2.38亿,4.81,2833.03亿
4,601166,兴业银行,16.91,-0.88,上交所主板,3578.64亿,0.4368,5.06,估值较低,一线蓝筹,-0.150,17.33,16.91,0.26,1.15,5416.83万,9.26亿,3.75,3578.64亿
5,002142,宁波银行,30.32,-0.26,深交所主板,2002.21亿,0.8612,4.27,估值较低,一线蓝筹,-0.080,31.01,30.25,0.28,0.89,1873.51万,5.74亿,6.12,2000.95亿
6,000001,平安银行,10.24,-0.39,深交所主板,1987.17亿,0.4347,5.22,估值较低,一线蓝筹,-0.040,10.40,10.23,0.27,0.96,5150.63万,5.32亿,3.42,1987.13亿
7,601668,中国建筑,4.46,0.45,上交所主板,1842.89亿,0.3715,5.30,估值较低,一线蓝筹,0.020,4.52,4.44,0.30,1.25,1.22亿,5.49亿,3.32,1842.89亿
8,601818,光大银行,2.96,-0.34,上交所主板,1748.93亿,0.3472,5.01,估值较低,二线蓝筹,-0.010,3.01,2.96,0.33,1.33,1.53亿,4.56亿,3.82,1373.64亿
9,600016,民生银行,3.28,0.31,上交所主板,1436.06亿,0.2505,4.93,估值较低,二线蓝筹,0.010,3.32,3.25,0.43,1.18,1.52亿,5.02亿,3.12,1163.16亿
10,601009,南京银行,10.38,0.39,上交所主板,1283.34亿,0.6922,4.63,估值较低,二线蓝筹,0.040,10.57,10.34,0.26,1.01,3256.85万,3.41亿,4.86,1283.34亿
11,600018,上港集团,4.84,0.21,上交所主板,1126.75亿,0.7756,3.60,估值较低,二线蓝筹,0.010,4.91,4.82,0.14,1.32,3276.64万,1.60亿,7.03,1125.14亿
12,600926,杭州银行,14.97,0.54,上交所主板,1085.18亿,0.7864,4.32,估值较低,二线蓝筹,0.080,15.09,14.90,0.40,1.10,2932.41万,4.40亿,4.09,1085.18亿
13,600015,华夏银行,6.63,0.30,上交所主板,1055.16亿,0.3283,6.11,估值较低,二线蓝筹,0.020,6.69,6.57,0.26,1.12,4063.87万,2.70亿,5.29,1020.17亿
