序号,代码,名称,市场代码简称,最新价(元) 2026.04.14,涨跌幅(%) 2026.04.14,证券类型,分红次数(次) 2025.12.31,分红次数(次) 2024.12.31,分红次数(次) 2023.12.31,分红次数(次) 2022.12.31,分红次数(次) 2021.12.31,销售毛利率平均值 2023.12.31 - 2025.12.31,销售净利率平均值 2023.12.31 - 2025.12.31,资本支出/折旧摊销/归属母公司股东的净利润 截至2026.04.14最新,经营活动产生的现金流量净额(元) 2025.12.31,经营活动产生的现金流量净额(元) 2024.12.31,经营活动产生的现金流量净额(元) 2023.12.31,资本支出/折旧摊销(%) 截至2026.04.14最新,归属母公司股东的净利润(元) 截至2026.04.14最新,净利润(元) 截至2026.04.14最新,涨跌额(元) 2026.04.14,最高价(元) 2026.04.14,最低价(元) 2026.04.14,换手率(%) 2026.04.14,量比 2026.04.14,成交量(股) 2026.04.14,成交额(元) 2026.04.14,市盈率(动)(倍) 2026.04.14,市净率(倍) 2026.04.14,总市值(元) 2026.04.14,流通市值(元) 2026.04.14
1,300357,我武生物,SZ,26.36,0.38,A股,1,2,1,1,1,95.21,33.86,0.00,-,2.62亿|2024年报,3.82亿|2023年报,326.25|2025半年报,3.45亿|2025三季报,3.35亿|2025三季报,0.100,26.40,25.62,2.44,1.14,1182.39万,3.07亿,10.01,5.3425,138.02亿,127.60亿
2,600211,西藏药业,SH,41.56,0.97,A股,2,3,2,1,1,94.49,31.42,0.00,10.05亿|2025年报,9.95亿|2024年报,10.63亿|2023年报,19.85|2025年报,9.38亿|2025年报,9.17亿|2025年报,0.400,41.59,40.89,0.77,0.77,249.01万,1.03亿,3.57,3.5266,133.96亿,133.96亿
3,300896,爱美客,SZ,116.44,2.29,A股,2,1,2,1,1,94.14,60.79,0.00,13.24亿|2025年报,19.27亿|2024年报,19.54亿|2023年报,226.28|2025年报,12.91亿|2025年报,13.02亿|2025年报,2.610,116.47,113.38,1.24,1.32,253.03万,2.91亿,6.82,4.6458,352.34亿,238.06亿
4,688278,特宝生物,SH,63.30,-0.31,A股,1,1,1,1,1,93.26,27.91,0.00,7.29亿|2025年报,4.31亿|2024年报,5.12亿|2023年报,175.28|2025年报,10.31亿|2025年报,10.31亿|2025年报,-0.200,64.00,62.80,0.46,0.75,188.77万,1.19亿,6.26,7.4903,258.38亿,258.38亿
5,600519,贵州茅台,SH,1446.90,0.25,A股,1,2,2,2,1,91.95,52.38,0.00,-,924.64亿|2024年报,665.93亿|2023年报,142.88|2025半年报,646.27亿|2025三季报,668.99亿|2025三季报,3.590,1448.60,1435.00,0.19,0.91,242.33万,34.93亿,7.01,7.9795,1.81万亿,1.81万亿
6,688088,虹软科技,SH,41.62,2.16,A股,1,2,1,1,1,90.39,17.42,0.00,-,1088.76万|2024年报,2.56亿|2023年报,71.03|2025半年报,1.42亿|2025三季报,1.42亿|2025三季报,0.880,41.98,41.13,1.24,1.03,496.80万,2.06亿,29.45,6.0932,166.97亿,166.97亿
7,603444,吉比特,SH,357.58,0.43,A股,3,3,1,2,1,90.10,33.80,0.00,27.96亿|2025年报,12.49亿|2024年报,11.86亿|2023年报,3.85|2025年报,17.94亿|2025年报,21.46亿|2025年报,1.530,359.99,354.50,1.98,0.80,142.41万,5.08亿,3.59,4.6747,257.60亿,257.60亿
8,300033,同花顺,SZ,239.59,1.93,A股,2,1,1,1,1,90.01,45.35,0.00,37.74亿|2025年报,23.16亿|2024年报,15.92亿|2023年报,184.29|2025年报,32.05亿|2025年报,32.05亿|2025年报,4.530,239.82,235.08,3.59,1.16,1573.69万,37.32亿,14.07,26.7150,1803.25亿,1050.39亿
9,002558,巨人网络,SZ,31.75,0.73,A股,1,2,2,1,1,88.13,43.15,0.00,-,10.34亿|2024年报,11.25亿|2023年报,186.96|2025半年报,14.17亿|2025三季报,14.31亿|2025三季报,0.230,32.05,31.10,3.68,0.94,6986.68万,22.10亿,10.65,3.9172,603.43亿,603.43亿
10,000568,泸州老窖,SZ,103.21,0.76,A股,1,2,1,1,1,87.92,43.61,0.00,-,191.82亿|2024年报,106.48亿|2023年报,184.96|2025半年报,107.62亿|2025三季报,107.95亿|2025三季报,0.780,103.31,101.60,0.52,1.21,760.58万,7.80亿,3.53,3.1862,1519.19亿,1518.48亿
