序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,概念,总市值(元) 2026.04.30,ST股票,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,流通市值(元) 2026.04.30
1,000893,亚钾国际,SZ,54.05,-1.96,生态农业、中盘股、融资融券、中马经济一体化、供销社概念、一带一路、化肥、深股通、中证500、2025年报预增、MSCI中国、深成500,499.45亿,否,基础化工-农化制品-钾肥,-1.080,55.60,53.62,1.61,0.87,1307.22万,7.10亿,23.45,3.5947,438.78亿
2,600331,宏达股份,SH,18.14,-1.09,金属铜、中盘股、稀缺资源、融资融券、西部大开发、参股期货、昨日高振幅、化肥、信托概念、中盘成长、沪股通、金属锌、成渝特区、央国企改革、磷化工、小金属概念,479.19亿,否,基础化工-农化制品-磷肥及磷化工,-0.200,18.42,17.81,3.29,0.89,6679.65万,12.11亿,-355.44,15.3843,368.60亿
3,600141,兴发集团,SH,32.64,-2.74,国产芯片、中盘股、乡村振兴、昨日高振幅、化肥、化工原料、标准普尔、电池技术、消毒剂、固态电池、中芯概念、央国企改革、磷化工、富时罗素、MSCI中国、机器人概念、黄磷、中盘价值、稀缺资源、融资融券、磷矿、高股息精选、上证380、中证500、沪股通、硅能源、绿色电力、半导体概念、草甘膦、氟化工概念、氢能源、磷酸铁锂、锂电池概念、比亚迪概念、有机硅概念、湖北三资改革、参股银行、湖北自贸,392.25亿,否,基础化工-农化制品-磷肥及磷化工,-0.920,33.69,32.45,2.42,0.81,2908.04万,9.57亿,38.21,1.5681,392.25亿
4,000683,博源化工,SZ,8.96,-1.54,中盘价值、中盘股、融资融券、西部大开发、化肥、化工原料、深股通、高股息精选、中证500、尿素、标准普尔、深成500、煤化工概念、富时罗素、甲醇、碳中和,333.03亿,否,基础化工-化学原料-纯碱,-0.140,9.29,8.88,1.19,0.94,3988.23万,3.60亿,19.82,2.5571,299.45亿
5,000830,鲁西化工,SZ,17.06,0.41,中盘价值、中盘股、融资融券、乡村振兴、化肥、化工原料、深股通、2025年报预减、中证500、标准普尔、深成500、氟化工概念、消毒剂、氢能源、生态农业、煤化工概念、央国企改革、磷化工、有机硅概念、富时罗素、天然气、MSCI中国、红利股,324.88亿,否,基础化工-化学原料-煤化工,0.070,17.35,16.73,2.09,0.85,3985.43万,6.79亿,18.54,1.6756,324.85亿
6,002545,东方铁塔,SZ,23.99,-2.68,专精特新、融资融券、昨日高振幅、化肥、深股通、高股息精选、标准普尔、特高压、小盘股、2025三季报预增、一带一路、智能电网、2025年报预增、风能、参股银行、电网概念,298.45亿,否,基础化工-农化制品-钾肥,-0.660,25.58,23.88,2.40,0.97,2710.60万,6.70亿,18.57,2.9215,271.13亿
7,600598,北大荒,SH,16.75,0.90,中盘股、区块链、融资融券、乡村振兴、玉米、东北振兴、化肥、高股息精选、俄乌冲突概念、上证380、中证500、养老金、沪股通、标准普尔、黑龙江自贸区、生态农业、农业种植、土地流转、大豆、央国企改革、富时罗素、MSCI中国、粮食概念、参股银行,297.76亿,否,农林牧渔-种植业-粮食种植,0.150,16.81,16.48,1.63,1.13,2892.07万,4.82亿,12.81,3.4701,297.76亿
8,603077,和邦生物,SH,2.96,-2.63,西部大开发、化肥、转债标的、铅矿、标准普尔、TOPCON电池、黄金开采、金属锌、油气资源、磷化工、金属铅、建筑节能、富时罗素、天然气、黄金概念、金属铜、稀土永磁、融资融券、磷矿、上证380、中证500、低价股、沪股通、绿色电力、硅能源、草甘膦、小盘价值、光伏概念、小盘股、新材料、HJT电池、锂电池概念、一带一路、锂矿概念、参股银行,261.42亿,否,基础化工-农化制品-磷肥及磷化工,-0.080,3.07,2.94,3.01,0.95,2.66亿,7.91亿,37.65,1.4737,261.42亿
9,000833,粤桂股份,SZ,31.72,9.99,粤港澳大湾区、2026—季报预增、融资融券、乡村振兴、西部大开发、昨日高振幅、化肥、深股通、近期新高、TOPCON电池、光伏概念、小盘股、2025三季报预增、农业种植、土地流转、历史新高 、锂电池概念、央国企改革、百日新高 、磷化工、广东自贸区、2025年报预增、小盘成长,254.42亿,否,综合-综合Ⅱ-综合Ⅲ,2.880,31.72,28.93,14.37,1.29,6518.42万,19.73亿,29.49,6.1224,143.91亿
10,002237,恒邦股份,SZ,16.61,-2.06,金属铜、稀缺资源、融资融券、昨日高振幅、化肥、深股通、贬值受益、金属回收、黄金加工、标准普尔、深成500、小盘价值、小盘股、金属锌、央国企改革、磷化工、金属铅、小金属概念、富时罗素、黄金概念,229.12亿,否,有色金属-贵金属-黄金,-0.350,16.95,16.37,2.50,0.62,2856.27万,4.75亿,31.40,1.7627,189.65亿
