序号,代码,名称,市场简称,最新价(港元) 2026.05.08,涨跌幅(%) 2026.05.08,港股总市值(日线不复权) 2026.05.08,交易币种,成交额 2026.05.08,振幅(%) 2026.05.08,kdj(j值) 2026.05.08,涨跌额 2026.05.08,最高价 2026.05.08,最低价(股) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,市盈率(TTM)(倍) 2026.05.08,市净率(倍) 2026.05.08,港股总市值 2026.05.08
1,02706,海致科技集团,HK,62.100,25.96,248.67亿,港元,3.63亿,30.63,83.41,12.800,64.400,49.300,1.52,6.41,609.01万,-109.39,-15.47,248.67亿
2,01384,滴普科技,HK,61.600,-9.28,201.21亿,港元,24.85亿,30.63,66.65,-6.300,82.000,61.200,10.90,4.45,3559.79万,-19.45,21.90,201.21亿
3,02940,经纬天地(旧),HK,4.240,13.07,169.60亿,港元,7384.12万,25.33,97.05,0.490,4.500,3.550,0.45,0.30,1818.02万,998.87,71.31,169.60亿
4,02865,钧达股份,HK,44.220,16.00,36.31亿,港元,10.53亿,20.41,99.98,6.100,45.380,37.600,30.48,3.16,2502.68万,-9.58,3.02,36.31亿
5,09963,高科桥,HK,7.310,25.82,21.86亿,港元,1367.59万,35.28,53.83,1.500,7.810,5.760,0.67,5.06,199.00万,-22.23,8.00,21.86亿
6,06660,艾美疫苗,HK,3.070,21.83,15.59亿,港元,1057.27万,24.21,106.07,0.550,3.140,2.530,0.72,10.71,364.72万,-5.04,1.23,15.59亿
7,01617,南方通信,HK,0.830,12.16,13.50亿,港元,2715.26万,22.97,68.39,0.090,0.870,0.700,2.04,1.37,3322.00万,40.12,1.44,13.50亿
8,03389,亨得利,HK,0.247,31.38,10.88亿,港元,738.22万,39.89,82.02,0.059,0.260,0.185,0.71,1.59,3129.52万,-36.52,0.32,10.88亿
9,01780,荣尊国际控股,HK,1.740,74.00,10.79亿,港元,9456.22万,55.00,100.04,0.740,1.880,1.330,9.03,1.69,5601.17万,-115.45,6.99,10.79亿
10,00465,富通科技,HK,3.070,-2.54,9.56亿,港元,939.72万,27.94,73.38,-0.080,3.380,2.500,1.03,0.57,321.40万,-12.97,4.85,9.56亿
11,01152,正乾金融控股,HK,0.255,0.00,8.47亿,港元,205.24万,18.82,75.56,0.000,0.260,0.212,0.27,3.07,884.80万,-81.57,5.34,8.47亿
12,00745,中国国家文化产业,HK,3.380,28.52,7.92亿,港元,552.14万,26.62,104.11,0.750,3.500,2.800,0.76,1.62,177.42万,66.72,12.89,7.92亿
13,01201,天臣控股,HK,2.090,5.56,7.73亿,港元,104.36万,19.70,51.53,0.110,2.200,1.810,0.15,1.88,54.90万,-29.70,2.26,7.73亿
14,00117,天利控股集团,HK,0.990,19.28,7.37亿,港元,621.11万,26.51,73.63,0.160,1.020,0.800,0.91,0.41,677.80万,4.99,1.03,7.37亿
15,06182,乙德投资控股,HK,0.790,6.76,6.32亿,港元,781.82万,25.68,59.92,0.050,0.900,0.710,1.23,11.85,985.60万,1401.33,6.60,6.32亿
16,09982,中原建业,HK,0.141,34.29,5.45亿,港元,2376.86万,49.52,83.16,0.036,0.155,0.103,4.37,0.75,1.69亿,10.34,0.19,5.45亿
17,08529,优博控股,HK,0.680,3.03,3.49亿,港元,1888.43万,39.39,90.58,0.020,0.780,0.520,5.59,2.15,2863.50万,27.22,4.18,3.49亿
18,06928,万马控股,HK,0.285,27.80,2.18亿,港元,335.04万,33.18,86.59,0.062,0.310,0.236,1.55,142.28,1183.80万,-9.72,2.64,2.18亿
19,02370,力高健康生活,HK,1.000,-4.76,2.00亿,港元,55.18万,20.95,95.07,-0.050,1.050,0.830,0.28,1.68,55.45万,-10.30,0.74,2.00亿
20,08227,海天天线,HK,0.305,29.79,1.97亿,港元,141.34万,61.28,84.04,0.070,0.380,0.236,0.72,3.72,466.80万,-60.00,-9.01,1.97亿
21,08073,水发兴业新材料,HK,0.350,27.27,1.82亿,港元,20.33万,38.18,70.88,0.075,0.405,0.300,0.10,12.17,51.60万,8.78,0.88,1.82亿
22,00139,小鱼盈通,HK,0.137,21.24,1.68亿,港元,212.62万,23.89,79.44,0.024,0.139,0.112,1.33,8.30,1633.27万,-1.23,0.23,1.68亿
23,08400,亚洲先锋娱乐,HK,0.134,57.65,1.34亿,港元,370.62万,87.06,63.97,0.049,0.163,0.089,2.78,14.11,2779.00万,21.84,5.11,1.34亿
24,08160,GOLDWAY EDU,HK,0.620,21.57,1.26亿,港元,221.56万,19.61,114.37,0.110,0.630,0.530,1.82,31.10,370.80万,-7.30,4.25,1.26亿
25,02080,奥克斯国际,HK,0.248,-9.82,1.22亿,港元,55.75万,21.82,78.29,-0.027,0.260,0.200,0.48,42.21,236.40万,4.41,0.45,1.22亿
26,00518,同得仕(集团),HK,0.260,13.04,1.17亿,港元,67.67万,24.78,97.33,0.030,0.290,0.233,0.60,12.54,270.40万,-42.34,0.31,1.17亿
