序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,股票简称,*ST股票,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,收盘价(日线不复权)(元) 2026.05.08,总市值(元) 2026.05.08,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额(元) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,流通市值(元) 2026.05.08
1,600187,*ST国中,SH,1.58,-4.82,*ST国中,是,1811.68|2026一季报,1.58,25.50亿,1751.17万|2026一季报,-2.15亿|2025年报,-1614.02万|2025三季报,-1831.76万|2025半年报,-102.31万|2025一季报,1588.60万|2026一季报,-2.09亿|2025年报,-2089.57万|2025三季报,-2208.93万|2025半年报,-292.24万|2025一季报,-0.080,1.58,1.58,0.45,0.21,733.41万,1158.79万,36.40,0.8572,25.50亿
2,600753,*ST海钦,SH,13.70,-0.07,*ST海钦,是,1561.78|2026一季报,13.70,31.55亿,2237.55万|2026一季报,3631.06万|2025年报,2575.80万|2025三季报,752.27万|2025半年报,-153.07万|2025一季报,2077.60万|2026一季报,4216.51万|2025年报,2575.78万|2025三季报,752.26万|2025半年报,-153.08万|2025一季报,-0.010,14.03,13.51,1.81,0.79,417.05万,5730.73万,35.25,35.9174,31.55亿
3,002200,*ST交投,SZ,7.89,3.82,*ST交投,是,1402.55|2026一季报,7.89,35.59亿,1435.38万|2026一季报,-2487.32万|2025年报,-6903.60万|2025三季报,-6071.10万|2025半年报,-110.20万|2025一季报,1391.56万|2026一季报,-3652.69万|2025年报,-7550.56万|2025三季报,-6455.10万|2025半年报,-322.60万|2025一季报,0.290,7.97,7.58,2.13,2.74,416.17万,3245.64万,61.99,2.7368,15.44亿
4,000504,*ST生物,SZ,9.46,1.61,*ST生物,是,600.34|2026一季报,9.46,31.22亿,1110.07万|2026一季报,2882.87万|2025年报,523.23万|2025三季报,-348.44万|2025半年报,-221.86万|2025一季报,1107.58万|2026一季报,1805.23万|2025年报,-314.96万|2025三季报,-1406.29万|2025半年报,-652.21万|2025一季报,0.150,9.59,9.16,2.84,1.50,934.85万,8710.22万,70.31,11.2769,31.13亿
5,000010,*ST美丽,SZ,2.48,-4.98,*ST美丽,是,567.13|2026一季报,2.48,28.51亿,2707.12万|2026一季报,-3456.44万|2025年报,-3190.39万|2025三季报,-4864.48万|2025半年报,-579.53万|2025一季报,3205.50万|2026一季报,-2287.41万|2025年报,-3051.87万|2025三季报,-5830.87万|2025半年报,-413.78万|2025一季报,-0.130,2.48,2.48,0.25,0.14,217.26万,538.80万,26.33,9.6871,21.53亿
6,002058,*ST威尔,SZ,26.48,0.80,*ST威尔,是,233.18|2026一季报,26.48,37.99亿,751.18万|2026一季报,2.02亿|2025年报,1.95亿|2025三季报,1.77亿|2025半年报,-564.03万|2025一季报,1737.59万|2026一季报,2.48亿|2025年报,2.32亿|2025三季报,1.78亿|2025半年报,-552.07万|2025一季报,0.210,27.12,26.20,2.10,0.76,301.04万,8033.38万,126.42,59.9576,37.90亿
7,600080,ST金花,SH,6.54,-4.94,ST金花,否,221.56|2026一季报,6.54,24.41亿,390.79万|2026一季报,1557.67万|2025年报,3448.12万|2025三季报,619.50万|2025半年报,121.53万|2025一季报,390.17万|2026一季报,1533.17万|2025年报,3423.74万|2025三季报,618.32万|2025半年报,121.35万|2025一季报,-0.340,6.54,6.54,0.93,0.81,345.30万,2258.26万,156.17,1.5321,24.41亿
8,603729,ST龙韵,SH,14.29,-3.25,ST龙韵,否,185.58|2026一季报,14.29,13.17亿,240.68万|2026一季报,-1.08亿|2025年报,-6505.67万|2025三季报,-372.98万|2025半年报,-281.23万|2025一季报,227.37万|2026一季报,-1.08亿|2025年报,-6547.30万|2025三季报,-400.12万|2025半年报,-293.91万|2025一季报,-0.480,14.36,14.03,29.02,20.98,2674.52万,3.76亿,136.80,4.7666,13.17亿
9,300313,*ST天山,SZ,8.99,0.78,*ST天山,是,183.91|2026一季报,8.99,21.56亿,416.15万|2026一季报,-2718.58万|2025年报,-1169.92万|2025三季报,-779.66万|2025半年报,-495.92万|2025一季报,484.37万|2026一季报,-2618.90万|2025年报,-1096.40万|2025三季报,-753.21万|2025半年报,-477.85万|2025一季报,0.070,9.19,8.90,2.28,0.97,450.18万,4071.77万,129.50,58.6719,17.74亿
10,603559,ST通脉,SH,8.33,-0.36,ST通脉,否,183.03|2026一季报,8.33,33.43亿,673.91万|2026一季报,-1.64亿|2025年报,-6492.59万|2025三季报,-4269.46万|2025半年报,-811.66万|2025一季报,668.82万|2026一季报,-1.64亿|2025年报,-6549.23万|2025三季报,-4303.59万|2025半年报,-815.19万|2025一季报,-0.030,8.55,8.23,2.19,1.03,879.06万,7338.02万,124.00,4.2699,33.43亿
