序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,区间振幅(%) 2026.05.06 - 2026.05.08,区间换手率(%) 2026.05.06 - 2026.05.08,区间涨跌幅(%) 2026.05.06 - 2026.05.08,技术面分数(分) 截至2026.05.08最新,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额(元) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,总市值(元) 2026.05.08,流通市值(元) 2026.05.08
1,002429,兆驰股份,SZ,12.69,5.05,14.84,11.68,14.84,92.95,0.610,12.82,11.90,4.54,1.30,2.05亿,25.59亿,68.51,3.3963,574.47亿,574.14亿
2,688662,富信科技,SH,75.83,0.57,15.16,24.91,7.94,92.18,0.430,77.65,72.67,7.46,1.13,658.36万,5.00亿,226.47,9.0602,66.91亿,66.91亿
3,300395,菲利华,SZ,128.66,0.11,22.02,28.02,18.06,92.06,0.140,131.84,122.00,8.14,1.10,4166.15万,53.35亿,116.88,14.0537,671.95亿,658.10亿
4,300184,力源信息,SZ,14.91,-1.65,14.91,46.00,11.69,91.50,-0.250,15.11,14.73,11.98,0.88,1.26亿,18.86亿,31.24,4.0718,171.62亿,157.15亿
5,002693,*ST双成,SZ,9.58,5.04,12.00,10.95,11.66,91.00,0.460,9.58,9.06,3.88,0.97,1595.06万,1.50亿,288.03,9.5520,39.73亿,39.37亿
6,600184,光电股份,SH,24.80,3.46,12.16,22.92,13.40,90.92,0.830,24.84,23.25,7.52,1.15,4382.90万,10.58亿,3221.12,4.2281,144.52亿,144.52亿
7,300398,飞凯材料,SZ,35.27,-1.54,17.69,37.73,15.98,90.71,-0.550,36.49,34.98,12.40,1.30,6990.86万,24.80亿,38.10,3.9650,199.96亿,198.87亿
8,603269,海鸥股份,SH,16.87,-1.11,15.95,28.34,13.07,90.68,-0.190,17.12,16.62,8.29,1.16,2559.44万,4.32亿,58.12,5.0461,52.09亿,52.09亿
9,301045,天禄科技,SZ,52.30,-1.19,17.36,33.05,8.06,90.45,-0.630,53.47,51.10,7.96,0.79,554.67万,2.91亿,149.50,5.5583,57.70亿,36.46亿
10,603296,华勤技术,SH,118.60,5.72,15.31,11.30,14.47,90.28,6.420,122.00,110.28,4.49,1.44,2564.28万,30.21亿,30.03,4.7590,1274.10亿,676.60亿
11,601996,丰林集团,SH,3.13,1.62,18.75,30.73,15.07,90.10,0.050,3.20,2.98,14.38,2.58,1.61亿,4.99亿,-31.74,1.4303,35.08亿,35.08亿
12,301295,美硕科技,SZ,47.35,3.54,7.99,19.52,6.24,90.05,1.620,47.47,45.10,6.16,0.67,181.22万,8457.89万,58.97,4.8880,47.73亿,13.92亿
13,688432,有研硅,SH,17.86,5.43,11.08,5.99,9.98,90.05,0.920,18.21,16.62,2.66,1.89,3327.87万,5.82亿,111.25,4.9494,223.30亿,223.30亿
14,301322,绿通科技,SZ,40.16,-0.64,5.93,11.22,3.51,89.99,-0.260,40.88,39.61,2.29,0.57,217.94万,8762.22万,-505.00,2.0037,56.74亿,38.16亿
15,688166,博瑞医药,SH,66.64,-2.80,11.97,12.11,5.61,89.99,-1.920,69.00,66.13,3.31,0.88,1402.14万,9.41亿,758.46,10.7684,281.96亿,281.96亿
16,000791,甘肃能源,SZ,9.20,5.75,16.00,15.43,14.14,89.92,0.500,9.57,8.63,7.68,2.32,1.49亿,13.87亿,15.31,1.9188,298.43亿,178.08亿
17,603156,养元饮品,SH,40.78,-1.71,14.33,4.27,8.60,89.91,-0.710,41.39,39.93,1.11,1.02,1402.26万,5.69亿,15.91,5.1857,513.94亿,513.94亿
18,001359,平安电工,SZ,93.72,-1.35,13.26,17.33,6.80,89.89,-1.280,94.30,91.20,5.13,0.84,237.81万,2.20亿,78.66,8.4102,173.85亿,43.46亿
19,300849,锦盛新材,SZ,25.53,8.13,13.85,9.46,11.58,89.81,1.920,25.95,23.68,4.54,1.73,550.86万,1.39亿,-153.61,7.1055,38.30亿,31.01亿
20,300828,锐新科技,SZ,24.80,6.26,15.49,42.74,14.71,89.80,1.460,24.96,23.35,17.92,2.12,1512.43万,3.65亿,160.60,5.2274,41.27亿,20.93亿
21,301499,维科精密,SZ,38.14,4.78,10.90,43.22,6.60,89.78,1.740,39.18,35.88,21.83,2.26,754.60万,2.86亿,101.20,4.0364,52.73亿,13.18亿
22,002685,华东重机,SZ,9.51,0.32,10.27,43.76,3.93,89.76,0.030,9.77,9.18,12.72,1.03,1.28亿,12.02亿,44.26,5.8100,95.83亿,95.82亿
23,300570,太辰光,SZ,162.10,8.03,22.80,55.96,19.26,89.75,12.050,167.99,145.33,21.74,1.69,4179.18万,66.74亿,139.93,20.8128,368.17亿,311.54亿
24,603488,展鹏科技,SH,13.14,5.80,14.59,29.56,12.79,89.73,0.720,13.18,12.20,13.22,2.05,3861.31万,4.95亿,-51.40,4.9535,38.37亿,38.37亿
25,603297,永新光学,SH,130.28,3.70,15.12,9.09,13.52,89.48,4.650,131.98,124.02,2.94,1.45,325.61万,4.21亿,78.32,6.8690,144.53亿,144.26亿
26,603800,洪田股份,SH,55.12,2.24,9.19,11.06,6.16,89.37,1.210,55.88,53.06,3.45,0.76,718.05万,3.93亿,-178.91,14.4944,114.65亿,114.65亿
27,603353,和顺石油,SH,52.31,6.08,24.18,27.74,21.40,89.34,3.000,53.58,47.81,7.69,0.78,1309.80万,6.71亿,101.86,5.5953,89.92亿,89.15亿
28,688179,阿拉丁,SH,22.85,2.93,17.74,15.36,15.81,89.34,0.650,23.50,22.20,4.79,1.09,1733.28万,3.97亿,71.01,6.2845,82.64亿,82.64亿
29,300900,广联航空,SZ,48.30,7.64,12.82,51.22,8.66,89.32,3.430,49.30,45.39,21.04,1.49,5380.89万,25.49亿,374.46,8.1760,157.81亿,123.52亿
30,603777,来伊份,SH,18.30,-2.97,17.89,21.67,11.38,89.26,-0.560,18.98,18.28,6.17,1.10,2062.05万,3.83亿,-108.98,3.9269,61.20亿,61.20亿
31,688669,聚石化学,SH,35.98,1.78,13.14,16.66,10.71,89.18,0.630,36.63,35.32,4.71,0.63,570.95万,2.05亿,-18.26,4.0179,43.66亿,43.66亿
32,600433,冠豪高新,SH,5.04,-1.95,12.60,40.33,4.13,89.17,-0.100,5.36,4.89,10.94,0.91,1.92亿,9.74亿,12.25,1.9993,88.21亿,88.21亿
33,300159,*ST新研,SZ,3.74,5.65,10.39,7.89,10.98,89.15,0.200,3.74,3.53,3.02,1.09,5527.87万,2.01亿,60.54,4.4051,123.06亿,68.51亿
34,301246,宏源药业,SZ,30.36,-2.82,8.48,58.50,1.30,89.09,-0.880,32.13,30.26,13.78,0.63,2344.07万,7.23亿,21.03,2.6352,121.44亿,51.64亿
35,603938,三孚股份,SH,33.97,4.11,21.79,18.63,20.38,89.09,1.340,34.68,32.80,10.16,2.65,3886.95万,13.14亿,83.64,5.1166,129.98亿,129.98亿
36,301392,汇成真空,SZ,170.71,2.89,15.37,47.77,9.35,89.00,4.800,178.00,162.00,15.29,1.21,623.79万,10.72亿,155.23,22.5433,170.71亿,69.64亿
37,603311,金海高科,SH,23.10,10.00,18.94,14.71,16.96,88.97,2.100,23.10,20.69,6.54,1.56,1543.24万,3.53亿,38.50,4.0412,54.49亿,54.49亿
38,301186,超达装备,SZ,76.62,2.69,15.30,10.33,15.29,88.97,2.010,77.70,73.51,3.01,0.87,227.73万,1.73亿,96.70,3.7174,61.72亿,57.96亿
39,600719,大连热电,SH,9.09,-3.09,32.90,50.12,17.29,88.97,-0.290,10.30,9.05,27.05,2.86,1.09亿,10.40亿,9.69,9.1221,36.78亿,36.78亿
40,688282,理工导航,SH,96.20,9.28,25.54,11.33,24.06,88.93,8.170,99.99,88.04,5.39,2.44,474.11万,4.46亿,-152.15,6.7179,84.66亿,84.66亿
41,603601,再升科技,SH,17.90,3.35,17.35,70.98,12.93,88.92,0.580,18.75,16.79,22.51,1.02,2.57亿,46.22亿,357.31,7.5567,204.48亿,204.48亿
