序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,概念,总市值(元) 2026.04.30,ST股票,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,流通市值(元) 2026.04.30
1,600486,扬农化工,SH,72.34,-2.27,中盘价值、中盘股、融资融券、乡村振兴、贬值受益、上证380、中证500、养老金、沪股通、标准普尔、草甘膦、农药兽药、央国企改革、富时罗素、MSCI中国、长江三角,293.21亿,否,基础化工-农化制品-农药,-1.680,74.38,72.31,1.07,0.71,432.27万,3.16亿,18.01,2.4708,292.25亿
2,301035,润丰股份,SZ,84.75,-3.21,小盘股、农业种植、融资融券、农药兽药、深股通、贬值受益、创业板综、2025年报预增、草甘膦、小盘价值,237.95亿,否,基础化工-农化制品-农药,-2.810,87.85,84.50,0.49,0.74,137.26万,1.17亿,35.99,3.0955,237.58亿
3,600596,新安股份,SH,12.49,-1.73,2026—季报预增、共同富裕示范区、乡村振兴、玉米、化工原料、北交所概念、标准普尔、华为概念、互联网金融、农业种植、磷化工、富时罗素、黄金概念、机器人概念、融资融券、液冷概念、无人机、沪股通、硅能源、草甘膦、小盘价值、小盘股、光伏概念、新材料、人形机器人、大豆、农药兽药、锂电池概念、有机硅概念、转基因、长江三角,168.56亿,否,基础化工-农化制品-农药,-0.220,12.80,12.45,1.58,0.84,2138.83万,2.69亿,43.77,1.3428,168.56亿
4,600201,生物股份,SH,14.59,3.99,合成生物、融资融券、西部大开发、宠物健康、病毒防治、宠物经济、沪股通、标准普尔、禽流感、小盘价值、生物疫苗、小盘股、流感、农药兽药、人工智能、富时罗素,162.20亿,否,农林牧渔-动物保健Ⅱ-动物保健Ⅲ,0.560,14.75,14.04,2.66,1.43,2954.02万,4.30亿,50.28,2.9700,162.20亿
5,600226,亨通股份,SH,5.40,2.86,合成生物、融资融券、沪股通、网络游戏、锂电铜箔、PET铜箔、PCB、生物疫苗、创投、小盘股、电池技术、腾讯概念、互联网金融、农药兽药、锂电池概念、比亚迪概念、独角兽、数字阅读、小盘成长、长江三角、大数据、PCB铜箔,160.62亿,否,公用事业-电力-热力服务,0.150,5.46,5.23,2.86,1.41,8512.02万,4.59亿,55.91,4.3341,160.62亿
6,603360,百傲化学,SH,22.66,10.00,国产芯片、专精特新、昨日高振幅、贬值受益、沪股通、光刻机(胶)、半导体概念、存储芯片、小盘股、消毒剂、高带宽内存、农药兽药、机器人概念,160.03亿,否,基础化工-农化制品-农药,2.060,22.66,20.49,6.08,2.51,4295.86万,9.32亿,201.77,11.3492,160.03亿
7,000553,安道麦A,SZ,6.82,10.00,AB股、融资融券、深股通、贬值受益、标准普尔、草甘膦、小盘价值、小盘股、农药兽药、央国企改革、富时罗素、湖北三资改革、破增发价股,158.89亿,否,基础化工-农化制品-农药,0.620,6.82,6.82,0.55,1.53,1205.62万,8222.32万,6.98,0.8869,148.48亿
8,002250,联化科技,SZ,16.55,0.24,CRO、六氟磷酸锂、创新医疗服务、融资融券、深股通、证金持股、贬值受益、小盘价值、小盘股、氟化工概念、农药兽药、锂电池概念、富时罗素、2025年报预增、创新药、长江三角、ADC药物,148.93亿,否,基础化工-农化制品-农药,0.040,17.01,16.36,1.74,0.68,1553.78万,2.59亿,36.54,2.1790,148.12亿
9,603599,广信股份,SH,14.85,-1.66,小盘股、融资融券、农药兽药、上证380、染料、沪股通、标准普尔、草甘膦、小盘价值,135.18亿,否,基础化工-农化制品-农药,-0.250,15.30,14.79,1.64,0.60,1496.38万,2.24亿,21.48,1.3225,135.18亿
10,600389,江山股份,SH,28.90,-1.47,融资融券、乡村振兴、农药兽药、化工原料、磷化工、2025年报预增、沪股通、草甘膦、长江三角,124.46亿,否,基础化工-农化制品-农药,-0.430,29.87,28.80,1.45,0.90,626.17万,1.82亿,17.03,2.9778,124.46亿
