序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,区间最低价 2026.04.02 - 2026.04.30,最低价区间最低 2025.11.03 - 2026.04.30,区间涨跌幅(%) 2026.04.24 - 2026.04.30,主力净额合计 2026.04.24 - 2026.04.30,证券类型,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30
1,688808,C联讯,SH,1033.33,11.35,688.99,688.99,1162.01,26.84亿,A股,105.330,1060.00,911.00,25.33,0.61,488.72万,47.91亿,223.06,36.1686,1060.89亿,199.39亿
2,688411,海博思创,SH,257.30,0.66,212.77,212.77,13.60,1.64亿,A股,1.690,261.52,250.81,5.17,0.99,684.99万,17.51亿,56.88,9.2778,463.38亿,341.11亿
3,301666,大普微-UW,SZ,318.00,7.43,199.99,199.99,43.25,2468.12万,A股,22.000,338.50,282.00,34.80,0.96,922.76万,28.00亿,93.75,51.7435,1387.17亿,84.32亿
4,688981,中芯国际,SH,118.73,5.57,91.20,91.20,12.03,12.26亿,A股,6.260,119.88,113.30,5.09,1.47,1.02亿,119.12亿,188.74,6.3080,9513.98亿,2374.08亿
5,688691,灿芯股份,SH,122.80,15.85,87.58,87.58,25.31,4.12亿,A股,16.800,125.00,108.00,23.98,1.74,1749.63万,20.35亿,-129.13,12.2150,147.36亿,89.60亿
6,688099,晶晨股份,SH,105.80,3.88,75.70,75.70,22.77,9.07亿,A股,3.950,106.59,103.00,6.46,1.13,2722.04万,28.60亿,64.31,5.9148,445.59亿,445.59亿
7,688820,盛合晶微,SH,103.00,11.35,75.00,75.00,16.25,3.34亿,A股,10.500,107.00,91.00,34.62,1.05,5986.29万,59.37亿,250.70,9.9718,1918.66亿,178.09亿
8,001301,尚太科技,SZ,85.65,1.58,70.06,70.06,14.23,1.54亿,A股,1.330,86.20,83.22,4.45,0.75,826.64万,7.04亿,30.88,3.1093,223.38亿,159.09亿
9,920186,中科仪,BJ,76.40,6.14,60.00,60.00,371.31,3.41亿,A股,4.420,78.67,69.20,34.82,0.62,3326.36万,24.89亿,24.92,4.9936,171.01亿,72.99亿
10,301599,N理奇,SZ,62.40,348.60,47.50,47.50,348.60,7.51亿,A股,48.490,62.40,47.50,77.24,0.00,4225.08万,22.09亿,105.68,12.7879,269.32亿,34.13亿
11,300469,信息发展,SZ,59.67,6.94,47.18,47.18,18.46,9187.85万,A股,3.870,62.50,54.87,6.41,1.32,1590.42万,9.45亿,-117.95,63.2822,148.12亿,148.05亿
