序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,振幅(%) 2026.05.08,换手率(%) 2026.05.08,阶段强势股 2026.05.08,热门板块 2026.05.08,主力净额(元) 2026.05.08,区间主力净额 2026.04.29 - 2026.05.08,主力净占比(%) 2026.05.08,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额(元) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,总市值(元) 2026.05.08,流通市值(元) 2026.05.08
1,920270,天铭科技,BJ,20.64,29.97,29.97,12.04,符合,-,1.05亿,1.04亿,54.81,4.760,20.64,15.88,10.32,976.66万,1.91亿,90.23,5.2026,21.59亿,16.74亿
2,002474,榕基软件,SZ,8.34,10.03,9.76,6.70,符合,华为概念,1.17亿,9521.13万,40.62,0.760,8.34,7.60,1.79,3543.47万,2.88亿,-166.42,3.9345,51.89亿,44.10亿
3,002030,达安基因,SZ,6.64,9.93,7.78,5.68,符合,央国企改革,2.01亿,2.18亿,38.73,0.600,6.64,6.17,4.48,7976.63万,5.18亿,-23.74,1.3238,93.19亿,93.19亿
4,000710,贝瑞基因,SZ,10.99,10.01,9.31,6.57,符合,-,8796.57万,7947.89万,37.96,1.000,10.99,10.06,3.57,2165.55万,2.32亿,-49.21,2.6739,38.85亿,36.22亿
5,002642,荣联科技,SZ,9.08,10.06,10.06,8.08,符合,华为概念、5G概念、央国企改革、通信技术,1.77亿,1.77亿,37.24,0.830,9.08,8.25,3.05,5346.05万,4.76亿,1841.05,5.0555,60.07亿,60.07亿
6,600783,鲁信创投,SH,24.84,10.01,8.59,4.16,符合,央国企改革,2.62亿,2.05亿,34.88,2.260,24.84,22.90,1.02,3095.37万,7.52亿,-297.33,4.2010,184.90亿,184.90亿
7,600536,中国软件,SH,43.45,10.00,10.51,4.11,符合,央国企改革,4.94亿,5.47亿,33.77,3.950,43.45,39.30,2.20,3467.10万,14.62亿,-137.60,11.5415,405.73亿,366.57亿
8,600076,康欣新材,SH,3.60,10.09,8.87,2.47,符合,央国企改革,3812.21万,2249.84万,32.49,0.330,3.60,3.31,1.20,3318.23万,1.17亿,-23.32,1.3597,48.40亿,48.40亿
9,002965,祥鑫科技,SZ,34.93,10.02,10.99,9.31,符合,5G概念、华为概念、新能源车、通信技术,1.88亿,2.09亿,31.10,3.180,34.93,31.44,2.38,1773.60万,6.05亿,-135.79,2.1857,92.70亿,66.51亿
10,003036,泰坦股份,SZ,41.91,10.00,7.01,2.31,符合,-,5967.45万,1.54亿,29.10,3.810,41.91,39.24,0.21,499.74万,2.05亿,110.48,6.3828,90.64亿,90.64亿
11,600984,建设机械,SH,4.71,10.05,11.45,5.44,符合,央国企改革,8635.25万,1.03亿,28.11,0.430,4.71,4.22,2.54,6837.09万,3.07亿,-5.30,3.3097,59.21亿,59.21亿
12,000036,华联控股,SZ,6.07,9.96,7.43,7.03,符合,-,1.65亿,1.08亿,27.88,0.550,6.07,5.66,1.92,9868.95万,5.91亿,81.81,1.6568,85.21亿,85.16亿
13,002997,瑞鹄模具,SZ,33.70,9.99,10.44,4.88,符合,新能源车,9205.01万,9056.86万,27.62,3.060,33.70,30.50,2.52,1020.78万,3.33亿,16.52,2.7369,70.54亿,70.54亿
14,002256,兆新股份,SZ,5.28,10.00,12.08,12.67,符合,-,3.42亿,4.63亿,26.44,0.480,5.28,4.70,1.35,2.49亿,12.95亿,245.48,8.7170,105.28亿,103.89亿
15,002520,日发精机,SZ,6.75,9.93,10.59,11.32,符合,-,1.41亿,2.24亿,26.43,0.610,6.75,6.10,1.66,8120.38万,5.32亿,37.43,17.1072,50.64亿,48.43亿
16,600343,航天动力,SH,38.48,10.01,11.15,10.75,符合,央国企改革,6.57亿,5.05亿,25.86,3.500,38.48,34.58,2.06,6859.33万,25.41亿,-276.14,19.2820,245.58亿,245.58亿
17,603311,金海高科,SH,23.10,10.00,11.48,6.54,符合,新能源车,8928.82万,7858.27万,25.29,2.100,23.10,20.69,1.56,1543.24万,3.53亿,38.50,4.0412,54.49亿,54.49亿
18,002211,ST宏达,SZ,3.79,4.99,5.26,2.64,符合,-,1066.30万,-336.90万,25.01,0.180,3.79,3.60,1.00,1143.01万,4263.70万,213.69,33.9541,16.39亿,16.39亿
19,002866,传艺科技,SZ,29.34,10.01,5.85,21.35,符合,华为概念,2.78亿,2.78亿,24.74,2.670,29.34,27.78,1.10,3868.73万,11.25亿,138.82,4.0613,84.95亿,53.17亿
20,300258,精锻科技,SZ,14.06,19.97,20.99,13.55,符合,新能源车,2.51亿,2.65亿,24.66,2.340,14.06,11.60,6.52,7722.94万,10.19亿,699.75,1.7484,82.26亿,80.13亿
21,600480,凌云股份,SH,11.61,10.05,11.00,5.23,符合,央国企改革、新能源车,1.73亿,2.37亿,24.28,1.060,11.61,10.45,2.24,6341.41万,7.12亿,23.13,1.7199,141.90亿,140.82亿
22,000782,恒申新材,SZ,8.23,10.03,9.76,3.72,符合,-,3846.57万,6905.98万,24.26,0.750,8.23,7.50,0.47,1964.45万,1.59亿,-263.04,3.4947,56.51亿,43.47亿
23,000863,三湘印象,SZ,5.63,9.96,9.77,4.07,符合,-,6220.63万,1.21亿,23.78,0.510,5.63,5.13,1.18,4739.99万,2.62亿,-327.31,1.5273,66.47亿,65.49亿
24,002599,盛通股份,SZ,7.24,5.54,5.98,6.38,符合,-,4214.66万,2443.03万,23.55,0.380,7.25,6.84,2.57,2538.14万,1.79亿,-123.72,3.1238,38.57亿,28.81亿
25,600589,大位科技,SH,12.51,10.03,12.23,24.26,符合,-,10.08亿,17.64亿,23.46,1.140,12.51,11.12,2.18,3.59亿,42.97亿,-145.73,29.9055,185.73亿,184.96亿
26,603373,安邦护卫,SH,43.95,10.01,10.46,9.13,符合,央国企改革,4076.99万,3591.97万,23.14,4.000,43.95,39.77,4.00,414.90万,1.76亿,50.70,2.5256,47.26亿,19.97亿
27,000659,珠海中富,SZ,4.40,10.00,11.00,4.75,符合,-,6000.61万,-627.54万,23.04,0.400,4.40,3.96,1.99,6102.09万,2.60亿,-262.25,61.5083,56.57亿,56.57亿
28,002902,铭普光磁,SZ,36.18,10.00,11.25,11.91,符合,5G概念、华为概念、国产芯片、新能源车、光通信模块、CPO概念、通信技术,1.67亿,1.50亿,22.77,3.290,36.18,32.48,0.50,2115.54万,7.33亿,-92.99,14.0114,85.03亿,64.27亿
29,688306,均普智能,SH,10.09,4.78,8.62,2.06,符合,新能源车,5686.11万,2779.51万,22.39,0.460,10.38,9.55,2.38,2524.20万,2.54亿,-90.31,7.0840,123.93亿,123.93亿
30,688031,星环科技-U,SH,153.60,2.12,8.13,11.37,符合,-,4.72亿,6.71亿,22.31,3.190,160.00,147.77,2.03,1377.84万,21.14亿,-83.07,23.0703,186.06亿,186.06亿
31,600778,友好集团,SH,7.00,1.74,2.03,2.16,符合,-,1028.02万,160.70万,22.07,0.120,7.00,6.86,0.65,671.64万,4657.26万,25.80,8.6260,21.80亿,21.79亿
32,920132,泰鹏智能,BJ,14.44,1.98,2.82,2.68,符合,-,234.64万,347.55万,21.75,0.280,14.48,14.08,0.96,75.41万,1079.02万,32.72,4.4108,11.96亿,4.06亿
33,603758,秦安股份,SH,13.44,9.98,9.98,2.75,符合,新能源车,3331.89万,1576.80万,21.20,1.220,13.44,12.22,2.55,1207.38万,1.57亿,62.90,2.2731,58.97亿,58.97亿
34,002031,巨轮智能,SZ,7.06,9.97,8.57,11.86,符合,-,3.24亿,5.82亿,20.87,0.640,7.06,6.51,3.87,2.27亿,15.54亿,-108.30,8.0007,155.28亿,135.10亿
35,002552,宝鼎科技,SZ,27.65,9.98,7.84,3.09,符合,央国企改革,6369.78万,1.02亿,20.76,2.510,27.65,25.68,0.79,1139.05万,3.07亿,40.61,6.8506,107.28亿,101.89亿
36,002009,天奇股份,SZ,26.96,10.00,11.18,14.49,符合,新能源车,2.76亿,2.96亿,20.69,2.450,26.96,24.22,2.46,5129.91万,13.33亿,110.17,5.2812,108.44亿,95.47亿
37,603950,长源东谷,SH,68.50,7.37,12.46,5.57,符合,-,2.46亿,5.82亿,20.69,4.700,70.00,62.05,1.90,1802.75万,11.87亿,67.00,7.1715,222.03亿,221.67亿
38,600078,澄星股份,SH,14.75,9.99,8.58,12.45,符合,-,2.47亿,3.38亿,20.62,1.340,14.75,13.60,2.10,8246.69万,11.98亿,90.48,5.8581,99.83亿,97.73亿
39,600545,卓郎智能,SH,5.51,9.98,9.98,8.88,符合,华为概念,1.77亿,1.15亿,20.61,0.500,5.51,5.01,0.96,1.59亿,8.57亿,-81.84,3.7582,98.51亿,98.51亿
40,920028,新恒泰,BJ,18.90,11.97,13.57,23.71,符合,5G概念,5572.88万,4200.84万,20.20,2.020,19.19,16.90,2.94,1540.33万,2.76亿,35.16,2.7404,31.06亿,12.28亿
41,603667,五洲新春,SH,78.17,10.01,9.67,10.42,符合,新能源车,5.81亿,7.88亿,20.13,7.110,78.17,71.30,2.05,3814.99万,28.87亿,243.11,7.5052,299.51亿,286.26亿
42,688480,赛恩斯,SH,109.03,3.43,7.98,4.08,符合,-,8130.73万,1.78亿,19.52,3.620,111.01,102.60,1.16,388.78万,4.17亿,80.87,8.6151,103.93亿,103.93亿
43,605077,华康股份,SH,18.65,2.30,2.63,7.20,符合,-,7755.72万,3.84亿,19.50,0.420,18.68,18.20,1.27,2157.13万,3.98亿,63.73,1.8420,56.52亿,55.84亿
44,688160,步科股份,SH,122.31,4.72,9.16,6.07,符合,-,1.28亿,1.60亿,19.04,5.510,126.88,116.18,2.21,551.63万,6.74亿,208.62,8.4577,111.10亿,111.10亿
45,603015,弘讯科技,SH,12.62,4.30,8.60,3.88,符合,-,3730.57万,2852.20万,18.92,0.520,13.02,11.98,2.90,1569.37万,1.97亿,188.50,3.6666,51.01亿,51.01亿
46,002489,浙江永强,SZ,3.75,5.93,9.32,5.63,符合,-,7291.67万,1.53亿,18.59,0.210,3.80,3.47,2.53,1.08亿,3.92亿,13.12,1.7700,81.34亿,71.74亿
47,002798,帝欧水华,SZ,8.44,10.04,11.21,5.46,符合,-,3893.46万,4478.96万,18.44,0.770,8.44,7.58,0.84,2617.18万,2.11亿,-79.38,2.4437,46.43亿,40.46亿
48,688076,ST诺泰,SH,32.10,7.18,7.51,2.16,符合,-,3890.40万,2706.99万,18.05,2.150,32.20,29.95,3.81,683.62万,2.15亿,19.59,3.2561,101.45亿,101.45亿
49,300948,冠中生态,SZ,23.69,6.33,8.26,6.10,符合,-,3805.42万,4439.99万,17.85,1.410,23.80,21.96,1.87,924.37万,2.13亿,8552.27,3.9848,38.09亿,35.90亿
50,688229,博睿数据,SH,105.20,7.07,14.74,17.22,符合,华为概念,1.42亿,1.20亿,17.18,6.950,117.00,102.52,3.26,764.58万,8.24亿,-100.33,12.7760,46.71亿,46.71亿
51,001333,光华股份,SZ,25.77,9.99,9.94,12.00,符合,-,2191.40万,2265.30万,16.98,2.340,25.77,23.44,2.79,528.19万,1.29亿,33.55,1.8582,32.99亿,11.34亿
52,600458,时代新材,SH,12.49,1.54,2.76,1.37,符合,新能源车、央国企改革、华为概念,2462.55万,5149.95万,16.81,0.190,12.55,12.21,0.97,1179.31万,1.47亿,18.37,1.4432,116.25亿,107.69亿
53,002334,英威腾,SZ,8.32,4.65,9.06,7.67,符合,新能源车,7716.51万,8033.51万,16.64,0.370,8.60,7.88,3.42,5637.89万,4.64亿,-56.31,2.2390,68.45亿,61.15亿
54,002702,海欣食品,SZ,6.17,2.83,3.67,4.85,符合,-,2261.03万,-1279.85万,16.60,0.170,6.20,5.98,0.68,2224.75万,1.36亿,74.92,3.3076,34.29亿,28.30亿
55,603028,赛福天,SH,9.63,10.06,10.97,7.52,符合,-,3257.62万,4207.27万,16.48,0.880,9.63,8.67,3.16,2136.13万,1.98亿,-142.66,5.9522,27.64亿,27.37亿
56,000545,金浦钛业,SZ,3.11,5.07,7.09,10.13,符合,-,5063.11万,2913.28万,16.45,0.150,3.15,2.94,2.09,9977.43万,3.08亿,-27.01,4.9198,30.69亿,30.65亿
57,600530,交大昂立,SH,5.95,9.98,11.09,3.62,符合,-,2634.06万,2566.12万,16.44,0.540,5.95,5.35,2.37,2808.75万,1.60亿,-182.77,14.6691,46.11亿,46.11亿
58,002600,领益智造,SZ,15.09,3.85,5.99,3.33,符合,5G概念、华为概念、新能源车,5.87亿,5.77亿,16.42,0.560,15.20,14.33,2.29,2.40亿,35.77亿,70.39,4.5208,1102.68亿,1086.31亿
