序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,涨跌幅(%) 2026.05.07,涨跌幅(%) 2026.05.06,5日均线(元) 2026.05.08,收盘价(元) 2026.05.07,5日均线(元) 2026.05.07,成交量环比增长率 2026.05.08,主力净额(元) 2026.05.08,成交量(股) 2026.05.07,成交量(股) 2026.05.08,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交额(元) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,总市值(元) 2026.05.08,流通市值(元) 2026.05.08
1,000733,振华科技,SZ,44.70,2.31,0.44,2.09,43.61,43.69,44.03,32.82,2527.51万,1235.52万,1641.08万,1.010,44.97,43.30,2.96,0.90,7.26亿,389.30,1.5717,247.71亿,247.68亿
2,920651,天罡股份,BJ,28.86,2.70,0.97,0.58,28.25,28.10,28.29,3.63,111.61万,84.03万,87.08万,0.760,28.99,27.32,2.10,0.95,2483.66万,40.26,3.1922,17.60亿,11.97亿
3,600764,中国海防,SH,24.35,2.14,0.13,0.80,23.92,23.84,23.85,67.70,272.13万,516.76万,866.59万,0.510,24.39,23.60,1.22,1.29,2.09亿,167.15,2.1096,173.04亿,173.04亿
4,001296,长江材料,SZ,23.58,2.21,0.39,0.13,23.09,23.07,23.33,33.67,152.50万,213.82万,285.80万,0.510,23.62,22.90,3.71,0.92,6658.73万,40.39,1.9417,35.27亿,18.18亿
5,002553,南方精工,SZ,23.18,2.93,2.22,0.09,22.70,22.52,22.75,25.20,509.90万,1108.58万,1387.99万,0.660,23.58,22.24,5.53,1.42,3.20亿,7918.19,5.2127,81.92亿,58.14亿
6,603595,ST东尼,SH,18.52,1.98,0.28,0.17,18.29,18.16,18.27,9.63,385.88万,357.84万,392.32万,0.360,18.74,18.02,1.69,0.87,7217.52万,45.23,2.8313,43.05亿,43.05亿
7,603231,索宝蛋白,SH,18.16,5.64,0.12,0.47,17.50,17.19,17.39,175.91,539.34万,202.59万,558.96万,0.970,18.27,17.20,5.26,1.78,9954.92万,27.35,1.7169,34.77亿,19.30亿
8,920943,优机股份,BJ,18.16,3.01,1.91,1.65,17.94,17.63,18.17,32.28,224.72万,107.28万,141.91万,0.530,18.28,17.47,2.74,0.93,2545.51万,-58.19,2.8277,18.44亿,9.41亿
9,300582,英飞特,SZ,15.60,1.83,0.52,1.20,15.36,15.32,15.42,18.30,850.68万,1425.30万,1686.20万,0.280,15.84,15.17,7.61,0.73,2.62亿,138.59,5.2970,46.57亿,34.56亿
10,000504,*ST生物,SZ,9.46,1.61,1.09,0.33,9.33,9.31,9.39,30.32,169.05万,717.34万,934.85万,0.150,9.59,9.16,2.84,1.50,8710.22万,70.31,11.2769,31.22亿,31.13亿
11,000917,电广传媒,SZ,8.95,0.90,0.68,0.80,8.85,8.87,8.88,21.15,2740.94万,3382.00万,4097.21万,0.080,9.09,8.84,2.89,0.87,3.68亿,-34.23,1.2328,126.87亿,126.86亿
12,002093,国脉科技,SZ,8.78,3.05,0.83,1.56,8.50,8.52,8.55,45.08,420.08万,1215.79万,1763.87万,0.260,8.79,8.47,1.75,0.97,1.53亿,-118.08,2.3025,88.46亿,88.46亿
13,600545,卓郎智能,SH,5.51,9.98,0.60,1.84,5.16,5.01,5.05,16.27,1.77亿,1.37亿,1.59亿,0.500,5.51,5.01,8.88,0.96,8.57亿,-81.84,3.7582,98.51亿,98.51亿
14,601018,宁波港,SH,3.76,0.80,0.27,0.54,3.74,3.73,3.76,28.49,1177.50万,5904.04万,7586.19万,0.030,3.78,3.72,0.39,1.12,2.85亿,15.63,0.8925,731.48亿,731.48亿
