序号,代码,名称,最新价 2026.05.08,涨跌幅(%) 2026.05.08,市场码,交易规则,区间波动率(%) 2026.04.08-2026.05.08,单位净值 2026.05.07,日收益率(%) 2026.05.07,成交额(元) 2026.05.08,资产规模(元) 2026.05.07,份额规模(份) 2026.05.07,份额变动(份) 2026.05.07,溢价(元) 2026.05.08,涨跌额(元) 2026.05.08
1,563530,卫星ETF易方达,1.642,3.60,1,T+1,2.63,1.5859,1.34|2026-05-07,2.69亿,17.06亿|2026-05-07,10.76亿,200.00万,0.056,0.057
2,512630,卫星ETF广发,1.649,3.58,1,T+1,2.63,1.5923,1.34|2026-05-07,4.92亿,22.94亿|2026-05-07,14.40亿,1300.00万,0.057,0.057
3,563230,卫星ETF富国,1.644,3.40,1,T+1,2.74,1.5900,1.33|2026-05-07,7.61亿,58.09亿|2026-05-07,36.53亿,-400.00万,0.054,0.054
4,563790,卫星ETF鹏华,1.230,3.36,1,T+1,2.62,1.1912,1.36|2026-05-07,1.42亿,10.77亿|2026-05-07,9.04亿,-1000.00万,0.039,0.040
5,159218,卫星ETF招商,2.004,3.35,0,T+1,2.62,1.9390,1.34|2026-05-07,4.00亿,44.65亿|2026-05-07,23.03亿,5800.00万,0.065,0.065
6,159583,通信ETF富国,1.781,2.12,0,T+1,2.70,1.7423,3.97|2026-05-07,2.51亿,19.52亿|2026-05-07,11.21亿,-3000.00万,0.039,0.037
7,159562,黄金股ETF华夏,2.515,2.11,0,T+1,2.65,2.4713,1.87|2026-05-07,2.77亿,62.48亿|2026-05-07,25.28亿,-5000.00万,0.044,0.052
8,159315,黄金股ETF工银,1.890,2.00,0,T+1,2.58,1.8600,1.87|2026-05-07,2775.72万,3.42亿|2026-05-07,1.84亿,-100.00万,0.030,0.037
9,159321,黄金股ETF华安,1.774,1.95,0,T+1,2.54,1.7443,1.86|2026-05-07,5197.30万,6.49亿|2026-05-07,3.72亿,-200.00万,0.030,0.034
10,159322,黄金股ETF平安,1.862,1.92,0,T+1,2.65,1.8330,1.86|2026-05-07,1751.37万,2.23亿|2026-05-07,1.21亿,-100.00万,0.029,0.035
11,517400,黄金股ETF国泰,1.828,1.84,1,T+1,2.61,1.7948,1.88|2026-05-07,5892.18万,13.60亿|2026-05-07,7.58亿,1000.00万,0.033,0.033
12,517520,黄金股ETF永赢,2.320,1.80,1,T+1,2.61,2.2787,1.88|2026-05-07,8.25亿,127.65亿|2026-05-07,56.02亿,4250.00万,0.041,0.041
13,513310,中韩半导体ETF华泰柏瑞,5.122,1.29,1,T+0,3.60,4.4545,2.17|2026-05-07,114.74亿,97.71亿|2026-05-07,21.93亿,300.00万,0.668,0.065
14,515880,通信ETF国泰,1.430,1.13,1,T+1,2.84,1.4115,4.41|2026-05-07,26.79亿,251.21亿|2026-05-07,177.97亿,1.56亿,0.018,0.016
