排名,代码,名称,市场,类型,行业,ROE持续性,盈利质量,财务安全,增长记录,定价权,估值,总分,亮点,风险,错误
"1","688266","泽璟制药","A股","成长弹性","创新药","10","5","3","8","10","5","41","高增长;毛利稳","","None"
"2","03692","翰森制药","港股","成长弹性","创新药","8","5","5","5","10","5","38","ROE↑(16%);毛利稳","","None"
"3","02096","先声药业","港股","成长弹性","制药","6","5","5","7","9","5","37","ROE↑(12%);毛利稳","","None"
"4","00151","中国旺旺","港股","价值底仓","食品","8","5","5","5","8","5","36","毛利稳","ROE↓(24%)","None"
"5","300760","迈瑞医疗","A股","成长弹性","医疗器械","8","5","7","3","8","5","36","","ROE↓(23%);增长弱","None"
"6","01209","华润万象生活","港股","价值底仓","物业管理","10","5","5","7","4","5","36","ROE↑(22%);毛利稳","","None"
"7","06862","海底捞","港股","价值底仓","餐饮","9","5","5","5","5","5","34","","ROE↓(43%)","None"
"8","09896","名创优品","港股","成长弹性","零售","6","5","5","5","6","5","32","毛利稳","ROE↓(18%)","None"
"9","000333","美的集团","A股","价值底仓","家电","6","5","3","5","3","5","27","","ROE↓(17%)","None"
"10","02688","新奥能源","港股","价值底仓","燃气","4","5","3","5","1","5","23","","ROE↓(14%)","None"
"11","600519","贵州茅台","A股","价值底仓","白酒","0","0","0","0","0","0","0","","","请求失败: 接口业务错误: code=503, status=-1, message=操作过于频繁"
"12","000858","五粮液","A股","价值底仓","白酒","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"13","000568","泸州老窖","A股","价值底仓","白酒","0","0","0","0","0","0","0","","","请求失败: 接口业务错误: code=503, status=-1, message=操作过于频繁"
"14","600809","山西汾酒","A股","价值底仓","白酒","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"15","600887","伊利股份","A股","价值底仓","乳业","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"16","02020","安踏体育","港股","价值底仓","运动服饰","0","0","0","0","0","0","0","","","请求失败: 接口业务错误: code=503, status=-1, message=操作过于频繁"
"17","688111","金山办公","A股","成长弹性","SaaS","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"18","600132","重庆啤酒","A股","价值底仓","啤酒","0","0","0","0","0","0","0","","","请求失败: 接口业务错误: code=503, status=-1, message=操作过于频繁"
"19","603369","今世缘","A股","价值底仓","白酒","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"20","000651","格力电器","A股","价值底仓","家电","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"21","600690","海尔智家","A股","价值底仓","家电","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"22","002653","海思科","A股","成长弹性","创新药","0","0","0","0","0","0","0","","","请求失败: 接口业务错误: code=503, status=-1, message=操作过于频繁"
"23","300199","翰宇药业","A股","成长弹性","医药","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"24","002027","分众传媒","A股","成长弹性","广告传媒","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"25","603444","吉比特","A股","成长弹性","游戏","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"26","03998","波司登","港股","价值底仓","服装","0","0","0","0","0","0","0","","","请求失败: 接口业务错误: code=503, status=-1, message=操作过于频繁"
"27","06181","老铺黄金","港股","价值底仓","黄金珠宝","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"28","00220","统一企业中国","港股","价值底仓","食品饮料","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"29","01044","恒安国际","港股","价值底仓","卫生用品","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"30","00836","华润电力","港股","价值底仓","电力","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"31","00270","粤海投资","港股","价值底仓","水务","0","0","0","0","0","0","0","","","请求失败: 接口业务错误: code=503, status=-1, message=操作过于频繁"
"32","06823","香港电讯-SS","港股","价值底仓","电信","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"33","01882","海天国际","港股","价值底仓","工业","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"34","00700","腾讯控股","港股","成长弹性","互联网","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"35","09999","网易","港股","成长弹性","互联网","0","0","0","0","0","0","0","","","请求失败: 接口业务错误: code=503, status=-1, message=操作过于频繁"
"36","02400","心动公司","港股","成长弹性","游戏","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"37","01928","金沙中国","港股","特殊","博彩","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"38","00027","银河娱乐","港股","特殊","博彩","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
