排名,代码,名称,市场,类型,行业,ROE持续性,盈利质量,财务安全,增长记录,定价权,估值,总分,亮点,风险,错误
"1","603444","吉比特","A股","成长弹性","游戏","8","5","9","8","10","5","45","高增长;毛利稳","ROE↓(22%)","None"
"2","600519","贵州茅台","A股","价值底仓","白酒","9","5","9","5","10","5","43","","ROE↓(28%)","None"
"3","688111","金山办公","A股","成长弹性","SaaS","8","5","7","8","10","5","43","ROE↑(15%);高增长;毛利稳","","None"
"4","02400","心动公司","港股","成长弹性","游戏","10","5","5","8","9","5","42","ROE↑(43%);高增长;毛利稳","","None"
"5","688266","泽璟制药","A股","成长弹性","创新药","10","5","3","8","10","5","41","高增长;毛利稳","","None"
"6","002027","分众传媒","A股","成长弹性","广告传媒","8","5","7","7","9","5","41","毛利稳","ROE↓(22%)","None"
"7","600809","山西汾酒","A股","价值底仓","白酒","9","5","7","5","9","5","40","毛利稳","ROE↓(32%)","None"
"8","02020","安踏体育","港股","价值底仓","运动服饰","9","5","5","7","9","5","40","毛利稳","","None"
"9","000568","泸州老窖","A股","价值底仓","白酒","8","5","7","3","10","5","38","","ROE↓(24%);增长弱","None"
"10","03692","翰森制药","港股","成长弹性","创新药","8","5","5","5","10","5","38","ROE↑(16%);毛利稳","","None"
"11","000858","五粮液","A股","价值底仓","白酒","6","5","7","5","9","5","37","毛利稳","ROE↓(15%)","None"
"12","00151","中国旺旺","港股","价值底仓","食品","8","5","5","5","8","5","36","毛利稳","ROE↓(24%)","None"
"13","300760","迈瑞医疗","A股","成长弹性","医疗器械","8","5","7","3","8","5","36","","ROE↓(23%);增长弱","None"
"14","03998","波司登","港股","价值底仓","服装","9","5","5","5","7","5","36","","","None"
"15","01209","华润万象生活","港股","价值底仓","物业管理","10","5","5","7","4","5","36","ROE↑(22%);毛利稳","","None"
"16","06181","老铺黄金","港股","价值底仓","黄金珠宝","10","5","5","5","5","5","35","ROE↑(51%)","","None"
"17","02096","先声药业","港股","成长弹性","制药","6","5","5","5","9","5","35","ROE↑(12%);毛利稳","","None"
"18","06862","海底捞","港股","价值底仓","餐饮","9","5","5","5","5","5","34","","ROE↓(43%)","None"
"19","002653","海思科","A股","成长弹性","创新药","2","5","5","8","9","5","34","ROE↑(9%);高增长;毛利稳","","None"
"20","00700","腾讯控股","港股","成长弹性","互联网","6","5","5","5","8","5","34","毛利稳","ROE↓(16%)","None"
"21","300199","翰宇药业","A股","成长弹性","医药","6","5","1","8","8","5","33","ROE↑(12%);高增长;毛利稳","高负债(78%)","None"
"22","01928","金沙中国","港股","特殊","博彩","9","5","1","8","5","5","33","高增长","ROE↓(139%);高负债(89%)","None"
"23","603369","今世缘","A股","价值底仓","白酒","6","5","5","3","8","5","32","","ROE↓(19%);增长弱","None"
"24","00220","统一企业中国","港股","价值底仓","食品饮料","6","5","5","7","4","5","32","ROE↑(14%);毛利稳","","None"
"25","09896","名创优品","港股","成长弹性","零售","6","5","5","5","6","5","32","毛利稳","ROE↓(18%)","None"
"26","600132","重庆啤酒","A股","价值底仓","啤酒","9","5","1","3","8","5","31","毛利稳","ROE↓(59%);高负债(73%);增长弱","None"
"27","01882","海天国际","港股","价值底仓","工业","5","5","7","5","4","5","31","毛利稳","","None"
"28","00836","华润电力","港股","价值底仓","电力","5","5","5","5","5","5","30","","","None"
"29","000651","格力电器","A股","价值底仓","家电","8","5","3","5","3","5","29","","ROE↓(24%)","None"
"30","01044","恒安国际","港股","价值底仓","卫生用品","4","5","5","6","4","5","29","毛利稳","ROE↓(12%)","None"
"31","00027","银河娱乐","港股","特殊","博彩","4","5","5","5","5","5","29","ROE↑(12%)","","None"
"32","600690","海尔智家","A股","价值底仓","家电","7","5","3","5","3","5","28","","","None"
"33","00270","粤海投资","港股","价值底仓","水务","2","5","3","5","8","5","28","ROE↑(9%);毛利稳","","None"
"34","000333","美的集团","A股","价值底仓","家电","6","5","3","5","3","5","27","","ROE↓(17%)","None"
"35","02688","新奥能源","港股","价值底仓","燃气","4","5","5","5","1","5","25","","ROE↓(14%)","None"
"36","600887","伊利股份","A股","价值底仓","乳业","0","0","0","0","0","0","0","","","接口业务错误: code=503, status=-1, message=操作过于频繁"
"37","06823","香港电讯-SS","港股","价值底仓","电信","0","0","0","0","0","0","0","","","接口返回的 dataTableDTOList 为空（多实体查数请确认 toolPreTaskResultList 格式正确）"
"38","09999","网易","港股","成长弹性","互联网","0","0","0","0","0","0","0","","","HTTP 错误: 500 - {"timestamp":"2026-07-03T07:25:37.222+00:00","status":500,"error":"Internal Server Error","path":"/proxy/b/mcp/tool/searchData"}"
