排名,代码,名称,市场,类型,行业,ROE持续性,盈利质量,财务安全,增长记录,定价权,估值分位,总分,亮点,风险
"1","600519","贵州茅台","A股","价值底仓","白酒","0","0","0","0","0","0","0","",""
"2","000858","五粮液","A股","价值底仓","白酒","0","0","0","0","0","0","0","",""
"3","000568","泸州老窖","A股","价值底仓","白酒","0","0","0","0","0","0","0","",""
"4","600809","山西汾酒","A股","价值底仓","白酒","0","0","0","0","0","0","0","",""
"5","600887","伊利股份","A股","价值底仓","乳业","0","0","0","0","0","0","0","",""
"6","02020","安踏体育","港股","价值底仓","运动服饰","0","0","0","0","0","0","0","",""
"7","06862","海底捞","港股","价值底仓","餐饮","0","0","0","0","0","0","0","",""
"8","00151","中国旺旺","港股","价值底仓","食品","0","0","0","0","0","0","0","",""
"9","688111","金山办公","A股","成长弹性","SaaS","0","0","0","0","0","0","0","",""
"10","600132","重庆啤酒","A股","价值底仓","啤酒","0","0","0","0","0","0","0","",""
"11","603369","今世缘","A股","价值底仓","白酒","0","0","0","0","0","0","0","",""
"12","000333","美的集团","A股","价值底仓","家电","0","0","0","0","0","0","0","",""
"13","000651","格力电器","A股","价值底仓","家电","0","0","0","0","0","0","0","",""
"14","600690","海尔智家","A股","价值底仓","家电","0","0","0","0","0","0","0","",""
"15","300760","迈瑞医疗","A股","成长弹性","医疗器械","0","0","0","0","0","0","0","",""
"16","002653","海思科","A股","成长弹性","创新药","0","0","0","0","0","0","0","",""
"17","688266","泽璟制药","A股","成长弹性","创新药","0","0","0","0","0","0","0","",""
"18","300199","翰宇药业","A股","成长弹性","医药","0","0","0","0","0","0","0","",""
"19","002027","分众传媒","A股","成长弹性","广告传媒","0","0","0","0","0","0","0","",""
"20","603444","吉比特","A股","成长弹性","游戏","0","0","0","0","0","0","0","",""
"21","03998","波司登","港股","价值底仓","服装","0","0","0","0","0","0","0","",""
"22","06181","老铺黄金","港股","价值底仓","黄金珠宝","0","0","0","0","0","0","0","",""
"23","01209","华润万象生活","港股","价值底仓","物业管理","0","0","0","0","0","0","0","",""
"24","00220","统一企业中国","港股","价值底仓","食品饮料","0","0","0","0","0","0","0","",""
"25","01044","恒安国际","港股","价值底仓","卫生用品","0","0","0","0","0","0","0","",""
"26","00836","华润电力","港股","价值底仓","电力","0","0","0","0","0","0","0","",""
"27","02688","新奥能源","港股","价值底仓","燃气","0","0","0","0","0","0","0","",""
"28","00270","粤海投资","港股","价值底仓","水务","0","0","0","0","0","0","0","",""
"29","06823","香港电讯-SS","港股","价值底仓","电信","0","0","0","0","0","0","0","",""
"30","01882","海天国际","港股","价值底仓","工业","0","0","0","0","0","0","0","",""
"31","09896","名创优品","港股","成长弹性","零售","0","0","0","0","0","0","0","",""
"32","00700","腾讯控股","港股","成长弹性","互联网","0","0","0","0","0","0","0","",""
"33","09999","网易","港股","成长弹性","互联网","0","0","0","0","0","0","0","",""
"34","02400","心动公司","港股","成长弹性","游戏","0","0","0","0","0","0","0","",""
"35","03692","翰森制药","港股","成长弹性","创新药","0","0","0","0","0","0","0","",""
"36","02096","先声药业","港股","成长弹性","制药","0","0","0","0","0","0","0","",""
"37","01928","金沙中国","港股","特殊","博彩","0","0","0","0","0","0","0","",""
"38","00027","银河娱乐","港股","特殊","博彩","0","0","0","0","0","0","0","",""
