序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,区间涨跌幅(%) 2026.04.07 - 2026.04.30,主力净额合计 2026.04.24 - 2026.04.30,流通市值(元) 2026.04.30,市盈率(TTM)(倍) 2026.04.30,ST股票,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30
1,600057,厦门象屿,SH,7.23,-0.82,-10.19,2.06亿,151.29亿,15.73,否,-0.060,7.60,7.02,2.76,1.16,5766.80万,4.14亿,9.85,1.3027,205.37亿
2,600125,铁龙物流,SH,6.14,1.32,-10.23,1422.54万,80.16亿,14.87,否,0.080,6.20,6.09,1.97,1.60,2572.99万,1.58亿,9.26,1.0226,80.16亿
3,000893,亚钾国际,SZ,54.05,-1.96,-10.36,3593.00万,438.78亿,27.43,否,-1.080,55.60,53.62,1.61,0.87,1307.22万,7.10亿,23.45,3.5947,499.45亿
4,600970,中材国际,SH,9.33,-1.79,-10.72,2369.35万,244.62亿,9.22,否,-0.170,9.45,9.20,1.42,1.41,3710.97万,3.45亿,13.45,1.0455,244.62亿
5,600750,华润江中,SH,23.92,-0.25,-10.78,1268.62万,150.38亿,16.71,否,-0.060,24.02,23.81,0.70,0.58,442.35万,1.06亿,13.20,3.5226,152.04亿
6,600873,梅花生物,SH,9.92,-1.00,-10.79,1479.55万,278.18亿,11.69,否,-0.100,10.06,9.90,1.14,0.58,3192.56万,3.18亿,58.98,1.6944,278.18亿
7,600782,新钢股份,SH,3.09,-2.52,-11.71,4373.94万,97.20亿,-14.08,否,-0.080,3.17,3.07,1.96,1.36,6161.94万,1.92亿,-3.37,0.3873,98.39亿
8,001207,联科科技,SZ,18.37,1.10,-11.82,2586.68万,53.75亿,20.26,否,0.200,18.46,18.09,1.32,0.56,387.29万,7090.48万,21.35,2.3005,55.69亿
9,601089,福元医药,SH,20.59,0.49,-12.98,1404.08万,98.83亿,22.76,否,0.100,20.63,20.32,0.45,0.54,214.10万,4383.81万,25.90,2.5507,98.83亿
10,301061,匠心家居,SZ,62.20,-4.28,-13.14,5070.35万,90.40亿,16.40,否,-2.780,63.25,61.85,2.57,1.14,373.57万,2.33亿,20.44,3.1205,136.07亿
11,603816,顾家家居,SH,29.04,-1.26,-13.62,4649.24万,235.85亿,13.50,否,-0.370,30.88,28.57,1.38,1.47,1122.04万,3.27亿,12.02,2.1521,238.55亿
12,002370,亚太药业,SZ,6.73,1.66,-13.83,1662.89万,50.18亿,49.43,否,0.110,6.81,6.58,3.26,0.77,2434.50万,1.63亿,-484.86,4.4899,50.18亿
13,603833,欧派家居,SH,47.00,-3.69,-14.12,1013.87万,286.30亿,15.53,否,-1.800,48.48,45.99,0.82,1.48,499.76万,2.34亿,46.24,1.5476,286.30亿
14,601019,山东出版,SH,7.46,0.40,-14.45,1892.96万,155.68亿,13.20,否,0.030,7.59,7.43,0.67,1.46,1403.83万,1.05亿,11.85,0.9908,155.68亿
15,688789,宏华数科,SH,60.12,-10.34,-15.54,1175.91万,108.37亿,23.48,否,-6.930,62.50,57.66,5.39,5.29,972.15万,5.84亿,65.19,2.9976,108.37亿
16,002082,万邦德,SZ,-,-,-16.33,3698.28万,157.62亿,-87.67,否,-,-,-,-,-,-,-,42.32,7.0153,174.27亿
17,600513,联环药业,SH,22.78,4.07,-17.70,1.74亿,65.03亿,-56.56,否,0.890,23.30,21.85,12.17,2.08,3474.12万,7.91亿,253.03,5.0850,65.03亿
18,000818,航锦科技,SZ,15.32,-0.65,-20.58,1.15亿,100.84亿,-71.16,否,-0.100,16.41,15.30,11.47,1.74,7546.96万,11.81亿,156.41,4.6268,101.11亿
