symbol_dir,report_file,rel_path,inferred_date,date_source,confidence,file_birthtime
000001,平安银行_稳健投资策略分析报告.md,000001/平安银行_稳健投资策略分析报告.md,2026-04-22,内容-元数据完整日期,high,2026-04-23 00:28:34
000048,京基智农_稳健投资策略分析报告.md,000048/京基智农_稳健投资策略分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 01:04:13
000088,盐田港投资分析报告.md,000088/盐田港投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:17:04
00013.HK,和黄医药_稳健投资策略分析报告.md,00013.HK/和黄医药_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 10:27:50
000157,中联重科投资分析报告.md,000157/中联重科投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:24:36
00027.HK,银河娱乐_00027.HK_稳健投资策略分析报告.md,00027.HK/银河娱乐_00027.HK_稳健投资策略分析报告.md,2026-07-09,内容-元数据完整日期,high,2026-07-09 19:56:29
000333,美的集团_稳健投资策略分析报告.md,000333/美的集团_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 21:21:05
000423,东阿阿胶投资分析报告.md,000423/东阿阿胶投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:19:12
000513,丽珠集团_稳健投资策略分析报告.md,000513/丽珠集团_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 20:59:31
000521,长虹美菱_稳健投资策略分析报告.md,000521/长虹美菱_稳健投资策略分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:38:06
000538,云南白药_稳健投资策略分析报告.md,000538/云南白药_稳健投资策略分析报告.md,2026-05-01,内容-元数据完整日期,high,2026-05-01 09:50:03
000568_2025年报,泸州老窖_稳健投资策略分析报告.md,000568_2025年报/泸州老窖_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 20:44:52
000581,威孚高科投资分析报告.md,000581/威孚高科投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 00:46:01
000596,古井贡酒_稳健投资策略分析报告.md,000596/古井贡酒_稳健投资策略分析报告.md,2026-05-01,内容-元数据完整日期,high,2026-05-01 09:07:37
000625,长安汽车_稳健投资策略分析报告.md,000625/长安汽车_稳健投资策略分析报告.md,2026-05-01,内容-元数据完整日期,high,2026-05-01 09:08:53
000651,格力电器_稳健投资策略分析报告.md,000651/格力电器_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 20:59:31
000651_2025年报,格力电器_稳健投资策略分析报告_2025年报.md,000651_2025年报/格力电器_稳健投资策略分析报告_2025年报.md,2026-04-28,内容-元数据完整日期,high,2026-04-29 09:04:36
000828,东莞控股_投资分析报告.md,000828/东莞控股_投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:18:39
000858,五粮液_000858_稳健投资策略分析报告.md,000858/五粮液_000858_稳健投资策略分析报告.md,2025-12-31,内容-元数据完整日期,high,2026-04-30 21:53:41
000858,五粮液_000858_稳健投资策略分析报告.md,000858/2026-07-11/五粮液_000858_稳健投资策略分析报告.md,2026-07-11,内容-元数据完整日期,high,2026-07-11 12:17:49
000858_2025年3季报,五粮液_稳健投资策略分析报告.md,000858_2025年3季报/五粮液_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 20:59:29
000895,双汇发展_稳健投资策略分析报告.md,000895/双汇发展_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 20:59:31
000913,钱江摩托_稳健投资策略分析报告.md,000913/钱江摩托_稳健投资策略分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:27:07
000915,华特达因_投资分析报告.md,000915/华特达因_投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 20:50:45
000921,海信家电_稳健投资策略分析报告.md,000921/海信家电_稳健投资策略分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-24 00:03:08
000937,冀中能源投资分析报告.md,000937/冀中能源投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 20:49:22
001323,慕思股份_稳健投资策略分析报告.md,001323/慕思股份_稳健投资策略分析报告.md,2026-04-22,内容-元数据完整日期,high,2026-04-22 23:55:33
001323,慕思股份_投资分析报告.md,001323/慕思股份_投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-24 00:00:01
00151.HK,中国旺旺_稳健投资策略分析报告.md,00151.HK/中国旺旺_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 11:20:42
